Country or Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Eastern Asia,2000,Male,15+,Percent,Not Available,34
Eastern Asia,2000,Male,25+,Percent,Not Available,32.8
Eastern Asia,2000,Total,15 - 24,Percent,Not Available,40.4
Eastern Asia,2000,Total,15+,Percent,Not Available,34.2
Eastern Asia,2000,Total,25+,Percent,Not Available,32.9
Landlocked developing countries,2015,Female,15 - 24,Percent,Not Available,25.6
Landlocked developing countries,2015,Female,15+,Percent,Not Available,24.2
Landlocked developing countries,2015,Female,25+,Percent,Not Available,23.7
Landlocked developing countries,2015,Male,15 - 24,Percent,Not Available,28.7
Landlocked developing countries,2015,Male,15+,Percent,Not Available,25.4
Landlocked developing countries,2015,Male,25+,Percent,Not Available,24.2
Landlocked developing countries,2015,Total,15 - 24,Percent,Not Available,27.3
Landlocked developing countries,2015,Total,15+,Percent,Not Available,24.9
Landlocked developing countries,2015,Total,25+,Percent,Not Available,23.9
Landlocked developing countries,2010,Female,15 - 24,Percent,Not Available,32.8
Landlocked developing countries,2010,Female,15+,Percent,Not Available,30.5
Landlocked developing countries,2010,Female,25+,Percent,Not Available,29.6
Landlocked developing countries,2010,Male,15 - 24,Percent,Not Available,35.7
Landlocked developing countries,2010,Male,15+,Percent,Not Available,31.2
Landlocked developing countries,2010,Male,25+,Percent,Not Available,29.5
Landlocked developing countries,2010,Total,15 - 24,Percent,Not Available,34.4
Landlocked developing countries,2010,Total,15+,Percent,Not Available,30.9
Landlocked developing countries,2010,Total,25+,Percent,Not Available,29.6
Landlocked developing countries,2005,Female,15 - 24,Percent,Not Available,40.3
Landlocked developing countries,2005,Female,15+,Percent,Not Available,37
Landlocked developing countries,2005,Female,25+,Percent,Not Available,35.6
Landlocked developing countries,2005,Male,15 - 24,Percent,Not Available,42.8
Landlocked developing countries,2005,Male,15+,Percent,Not Available,37.9
Landlocked developing countries,2005,Male,25+,Percent,Not Available,36
Landlocked developing countries,2005,Total,15 - 24,Percent,Not Available,41.6
Landlocked developing countries,2005,Total,15+,Percent,Not Available,37.5
Landlocked developing countries,2005,Total,25+,Percent,Not Available,35.9
Landlocked developing countries,2000,Female,15 - 24,Percent,Not Available,50.9
Landlocked developing countries,2000,Female,15+,Percent,Not Available,47.3
Landlocked developing countries,2000,Female,25+,Percent,Not Available,45.8
Landlocked developing countries,2000,Male,15 - 24,Percent,Not Available,52.7
Landlocked developing countries,2000,Male,15+,Percent,Not Available,47.2
Landlocked developing countries,2000,Male,25+,Percent,Not Available,45.1
Landlocked developing countries,2000,Total,15 - 24,Percent,Not Available,51.9
Landlocked developing countries,2000,Total,15+,Percent,Not Available,47.2
Landlocked developing countries,2000,Total,25+,Percent,Not Available,45.4
Latin America and the Caribbean,2015,Female,15 - 24,Percent,Not Available,3.4
Latin America and the Caribbean,2015,Female,15+,Percent,Not Available,3.7
Latin America and the Caribbean,2015,Female,25+,Percent,Not Available,3.7
Latin America and the Caribbean,2015,Male,15 - 24,Percent,Not Available,4.1
Latin America and the Caribbean,2015,Male,15+,Percent,Not Available,3.5
Latin America and the Caribbean,2015,Male,25+,Percent,Not Available,3.3
Latin America and the Caribbean,2015,Total,15 - 24,Percent,Not Available,3.9
Latin America and the Caribbean,2015,Total,15+,Percent,Not Available,3.5
Latin America and the Caribbean,2015,Total,25+,Percent,Not Available,3.5
Latin America and the Caribbean,2010,Female,15 - 24,Percent,Not Available,4.4
Latin America and the Caribbean,2010,Female,15+,Percent,Not Available,4.2
Latin America and the Caribbean,2010,Female,25+,Percent,Not Available,4.2
Latin America and the Caribbean,2010,Male,15 - 24,Percent,Not Available,5
Latin America and the Caribbean,2010,Male,15+,Percent,Not Available,4.1
Latin America and the Caribbean,2010,Male,25+,Percent,Not Available,3.9
Latin America and the Caribbean,2010,Total,15 - 24,Percent,Not Available,4.7
Latin America and the Caribbean,2010,Total,15+,Percent,Not Available,4.2
Latin America and the Caribbean,2010,Total,25+,Percent,Not Available,4
Latin America and the Caribbean,2005,Female,15 - 24,Percent,Not Available,7.2
Latin America and the Caribbean,2005,Female,15+,Percent,Not Available,6.3
Latin America and the Caribbean,2005,Female,25+,Percent,Not Available,6
Latin America and the Caribbean,2005,Male,15 - 24,Percent,Not Available,8.8
Latin America and the Caribbean,2005,Male,15+,Percent,Not Available,6.8
Latin America and the Caribbean,2005,Male,25+,Percent,Not Available,6.2
Latin America and the Caribbean,2005,Total,15 - 24,Percent,Not Available,8.2
Latin America and the Caribbean,2005,Total,15+,Percent,Not Available,6.6
Latin America and the Caribbean,2005,Total,25+,Percent,Not Available,6.2
Latin America and the Caribbean,2000,Female,15 - 24,Percent,Not Available,8
Latin America and the Caribbean,2000,Female,15+,Percent,Not Available,7.6
Latin America and the Caribbean,2000,Female,25+,Percent,Not Available,7.5
Latin America and the Caribbean,2000,Male,15 - 24,Percent,Not Available,11
Latin America and the Caribbean,2000,Male,15+,Percent,Not Available,8.7
Latin America and the Caribbean,2000,Male,25+,Percent,Not Available,8
Latin America and the Caribbean,2000,Total,15 - 24,Percent,Not Available,9.9
Latin America and the Caribbean,2000,Total,15+,Percent,Not Available,8.3
Latin America and the Caribbean,2000,Total,25+,Percent,Not Available,7.8
Least developed countries,2015,Female,15 - 24,Percent,Not Available,38.2
Least developed countries,2015,Female,15+,Percent,Not Available,38.9
Least developed countries,2015,Female,25+,Percent,Not Available,39.1
Least developed countries,2015,Male,15 - 24,Percent,Not Available,39.5
Least developed countries,2015,Male,15+,Percent,Not Available,38.9
Least developed countries,2015,Male,25+,Percent,Not Available,38.7
Least developed countries,2015,Total,15 - 24,Percent,Not Available,38.9
Least developed countries,2015,Total,15+,Percent,Not Available,38.9
Least developed countries,2015,Total,25+,Percent,Not Available,38.8
Least developed countries,2010,Female,15 - 24,Percent,Not Available,48.1
Least developed countries,2010,Female,15+,Percent,Not Available,48.1
Least developed countries,2010,Female,25+,Percent,Not Available,48.1
Least developed countries,2010,Male,15 - 24,Percent,Not Available,48.7
Least developed countries,2010,Male,15+,Percent,Not Available,47.4
Least developed countries,2010,Male,25+,Percent,Not Available,47
Least developed countries,2010,Total,15 - 24,Percent,Not Available,48.4
Least developed countries,2010,Total,15+,Percent,Not Available,47.7
Least developed countries,2010,Total,25+,Percent,Not Available,47.5
Least developed countries,2005,Female,15 - 24,Percent,Not Available,57.9
Least developed countries,2005,Female,15+,Percent,Not Available,58.2
Least developed countries,2005,Female,25+,Percent,Not Available,58.4
Least developed countries,2005,Male,15 - 24,Percent,Not Available,57.6
Least developed countries,2005,Male,15+,Percent,Not Available,56.1
Least developed countries,2005,Male,25+,Percent,Not Available,55.6
Least developed countries,2005,Total,15 - 24,Percent,Not Available,57.7
Least developed countries,2005,Total,15+,Percent,Not Available,57.1
Least developed countries,2005,Total,25+,Percent,Not Available,56.8
Least developed countries,2000,Female,15 - 24,Percent,Not Available,67.4
Least developed countries,2000,Female,15+,Percent,Not Available,67.6
Least developed countries,2000,Female,25+,Percent,Not Available,67.7
Least developed countries,2000,Male,15 - 24,Percent,Not Available,66.1
Least developed countries,2000,Male,15+,Percent,Not Available,64.2
Least developed countries,2000,Male,25+,Percent,Not Available,63.5
Least developed countries,2000,Total,15 - 24,Percent,Not Available,66.7
Least developed countries,2000,Total,15+,Percent,Not Available,65.7
Least developed countries,2000,Total,25+,Percent,Not Available,65.3
Northern Africa,2015,Female,15 - 24,Percent,Not Available,5.8
Northern Africa,2015,Female,15+,Percent,Not Available,5.4
Northern Africa,2015,Female,25+,Percent,Not Available,5.4
Northern Africa,2015,Male,15 - 24,Percent,Not Available,6.5
Northern Africa,2015,Male,15+,Percent,Not Available,5.2
Northern Africa,2015,Male,25+,Percent,Not Available,5
Northern Africa,2015,Total,15 - 24,Percent,Not Available,6.4
Northern Africa,2015,Total,15+,Percent,Not Available,5.3
Northern Africa,2015,Total,25+,Percent,Not Available,5.1
Northern Africa,2010,Female,15 - 24,Percent,Not Available,6.2
Northern Africa,2010,Female,15+,Percent,Not Available,5.6
Northern Africa,2010,Female,25+,Percent,Not Available,5.4
Northern Africa,2010,Male,15 - 24,Percent,Not Available,8.3
Northern Africa,2010,Male,15+,Percent,Not Available,6.4
Northern Africa,2010,Male,25+,Percent,Not Available,6.1
Northern Africa,2010,Total,15 - 24,Percent,Not Available,7.9
Northern Africa,2010,Total,15+,Percent,Not Available,6.3
Northern Africa,2010,Total,25+,Percent,Not Available,5.9
Northern Africa,2005,Female,15 - 24,Percent,Not Available,8.2
Northern Africa,2005,Female,15+,Percent,Not Available,7.4
Northern Africa,2005,Female,25+,Percent,Not Available,7.2
Northern Africa,2005,Male,15 - 24,Percent,Not Available,10.2
Northern Africa,2005,Male,15+,Percent,Not Available,8.3
Northern Africa,2005,Male,25+,Percent,Not Available,7.9
Northern Africa,2005,Total,15 - 24,Percent,Not Available,9.8
Northern Africa,2005,Total,15+,Percent,Not Available,8.2
Northern Africa,2005,Total,25+,Percent,Not Available,7.7
Northern Africa,2000,Female,15 - 24,Percent,Not Available,9.2
Northern Africa,2000,Female,15+,Percent,Not Available,8.2
Northern Africa,2000,Female,25+,Percent,Not Available,7.9
Northern Africa,2000,Male,15 - 24,Percent,Not Available,9.1
Northern Africa,2000,Male,15+,Percent,Not Available,8
Northern Africa,2000,Male,25+,Percent,Not Available,7.8
Northern Africa,2000,Total,15 - 24,Percent,Not Available,9.1
Northern Africa,2000,Total,15+,Percent,Not Available,8.1
Northern Africa,2000,Total,25+,Percent,Not Available,7.8
Oceania,2015,Female,15 - 24,Percent,Not Available,20.2
Oceania,2015,Female,15+,Percent,Not Available,15.5
Oceania,2015,Female,25+,Percent,Not Available,14.1
Oceania,2015,Male,15 - 24,Percent,Not Available,20.1
Oceania,2015,Male,15+,Percent,Not Available,15.5
Oceania,2015,Male,25+,Percent,Not Available,14.3
Oceania,2015,Total,15 - 24,Percent,Not Available,20.2
Oceania,2015,Total,15+,Percent,Not Available,15.5
Oceania,2015,Total,25+,Percent,Not Available,14.2
Oceania,2010,Female,15 - 24,Percent,Not Available,37.2
Oceania,2010,Female,15+,Percent,Not Available,30.5
Oceania,2010,Female,25+,Percent,Not Available,28.5
Oceania,2010,Male,15 - 24,Percent,Not Available,34.9
Oceania,2010,Male,15+,Percent,Not Available,28.5
Oceania,2010,Male,25+,Percent,Not Available,26.7
Oceania,2010,Total,15 - 24,Percent,Not Available,36
Oceania,2010,Total,15+,Percent,Not Available,29.4
Oceania,2010,Total,25+,Percent,Not Available,27.5
Oceania,2005,Female,15 - 24,Percent,Not Available,53.2
Oceania,2005,Female,15+,Percent,Not Available,46.9
Oceania,2005,Female,25+,Percent,Not Available,44.8
Oceania,2005,Male,15 - 24,Percent,Not Available,48.9
Oceania,2005,Male,15+,Percent,Not Available,42.1
Oceania,2005,Male,25+,Percent,Not Available,40.1
Oceania,2005,Total,15 - 24,Percent,Not Available,50.9
Oceania,2005,Total,15+,Percent,Not Available,44.3
Oceania,2005,Total,25+,Percent,Not Available,42.2
Oceania,2000,Female,15 - 24,Percent,Not Available,57.7
Oceania,2000,Female,15+,Percent,Not Available,51.7
Oceania,2000,Female,25+,Percent,Not Available,49.5
Oceania,2000,Male,15 - 24,Percent,Not Available,52.4
Oceania,2000,Male,15+,Percent,Not Available,45.8
Oceania,2000,Male,25+,Percent,Not Available,43.6
Oceania,2000,Total,15 - 24,Percent,Not Available,54.9
Oceania,2000,Total,15+,Percent,Not Available,48.5
Oceania,2000,Total,25+,Percent,Not Available,46.3
Small island developing States,2015,Female,15 - 24,Percent,Not Available,15.7
Small island developing States,2015,Female,15+,Percent,Not Available,12.8
Small island developing States,2015,Female,25+,Percent,Not Available,12.3
Small island developing States,2015,Male,15 - 24,Percent,Not Available,14.2
Small island developing States,2015,Male,15+,Percent,Not Available,10.4
Small island developing States,2015,Male,25+,Percent,Not Available,9.7
Small island developing States,2015,Total,15 - 24,Percent,Not Available,14.8
Small island developing States,2015,Total,15+,Percent,Not Available,11.4
Small island developing States,2015,Total,25+,Percent,Not Available,10.8
Small island developing States,2010,Female,15 - 24,Percent,Not Available,20.5
Small island developing States,2010,Female,15+,Percent,Not Available,16
Small island developing States,2010,Female,25+,Percent,Not Available,15.2
Small island developing States,2010,Male,15 - 24,Percent,Not Available,18
Small island developing States,2010,Male,15+,Percent,Not Available,13
Small island developing States,2010,Male,25+,Percent,Not Available,12.1
Small island developing States,2010,Total,15 - 24,Percent,Not Available,19.1
Small island developing States,2010,Total,15+,Percent,Not Available,14.3
Small island developing States,2010,Total,25+,Percent,Not Available,13.4
Small island developing States,2005,Female,15 - 24,Percent,Not Available,25.5
Small island developing States,2005,Female,15+,Percent,Not Available,19
Small island developing States,2005,Female,25+,Percent,Not Available,17.7
Small island developing States,2005,Male,15 - 24,Percent,Not Available,21.1
Small island developing States,2005,Male,15+,Percent,Not Available,15.1
Small island developing States,2005,Male,25+,Percent,Not Available,13.9
Small island developing States,2005,Total,15 - 24,Percent,Not Available,22.8
Small island developing States,2005,Total,15+,Percent,Not Available,16.6
Small island developing States,2005,Total,25+,Percent,Not Available,15.4
Small island developing States,2000,Female,15 - 24,Percent,Not Available,25.5
Small island developing States,2000,Female,15+,Percent,Not Available,19.9
Small island developing States,2000,Female,25+,Percent,Not Available,18.7
Small island developing States,2000,Male,15 - 24,Percent,Not Available,21.2
Small island developing States,2000,Male,15+,Percent,Not Available,15.4
Small island developing States,2000,Male,25+,Percent,Not Available,14.2
Small island developing States,2000,Total,15 - 24,Percent,Not Available,22.9
Small island developing States,2000,Total,15+,Percent,Not Available,17.2
Small island developing States,2000,Total,25+,Percent,Not Available,16
South-eastern Asia,2015,Female,15 - 24,Percent,Not Available,10.4
South-eastern Asia,2015,Female,15+,Percent,Not Available,8
South-eastern Asia,2015,Female,25+,Percent,Not Available,7.6
South-eastern Asia,2015,Male,15 - 24,Percent,Not Available,11.4
South-eastern Asia,2015,Male,15+,Percent,Not Available,8.5
South-eastern Asia,2015,Male,25+,Percent,Not Available,7.9
South-eastern Asia,2015,Total,15 - 24,Percent,Not Available,11
South-eastern Asia,2015,Total,15+,Percent,Not Available,8.3
South-eastern Asia,2015,Total,25+,Percent,Not Available,7.8
South-eastern Asia,2010,Female,15 - 24,Percent,Not Available,16.3
South-eastern Asia,2010,Female,15+,Percent,Not Available,13
South-eastern Asia,2010,Female,25+,Percent,Not Available,12.3
South-eastern Asia,2010,Male,15 - 24,Percent,Not Available,16.4
South-eastern Asia,2010,Male,15+,Percent,Not Available,12.9
South-eastern Asia,2010,Male,25+,Percent,Not Available,12.2
South-eastern Asia,2010,Total,15 - 24,Percent,Not Available,16.4
South-eastern Asia,2010,Total,15+,Percent,Not Available,12.9
South-eastern Asia,2010,Total,25+,Percent,Not Available,12.2
South-eastern Asia,2005,Female,15 - 24,Percent,Not Available,28.3
South-eastern Asia,2005,Female,15+,Percent,Not Available,23.5
South-eastern Asia,2005,Female,25+,Percent,Not Available,22.3
South-eastern Asia,2005,Male,15 - 24,Percent,Not Available,26.6
South-eastern Asia,2005,Male,15+,Percent,Not Available,21.3
South-eastern Asia,2005,Male,25+,Percent,Not Available,20
South-eastern Asia,2005,Total,15 - 24,Percent,Not Available,27.3
South-eastern Asia,2005,Total,15+,Percent,Not Available,22.2
South-eastern Asia,2005,Total,25+,Percent,Not Available,21
South-eastern Asia,2000,Female,15 - 24,Percent,Not Available,43.1
South-eastern Asia,2000,Female,15+,Percent,Not Available,38.9
South-eastern Asia,2000,Female,25+,Percent,Not Available,37.7
South-eastern Asia,2000,Male,15 - 24,Percent,Not Available,42.2
South-eastern Asia,2000,Male,15+,Percent,Not Available,36.7
South-eastern Asia,2000,Male,25+,Percent,Not Available,35.2
South-eastern Asia,2000,Total,15 - 24,Percent,Not Available,42.6
South-eastern Asia,2000,Total,15+,Percent,Not Available,37.6
South-eastern Asia,2000,Total,25+,Percent,Not Available,36.3
Southern Asia,2015,Female,15 - 24,Percent,Not Available,25.2
Southern Asia,2015,Female,15+,Percent,Not Available,21.2
Southern Asia,2015,Female,25+,Percent,Not Available,20.4
Southern Asia,2015,Male,15 - 24,Percent,Not Available,20.4
Southern Asia,2015,Male,15+,Percent,Not Available,17
Southern Asia,2015,Male,25+,Percent,Not Available,16.4
Southern Asia,2015,Total,15 - 24,Percent,Not Available,21.6
Southern Asia,2015,Total,15+,Percent,Not Available,18.1
Southern Asia,2015,Total,25+,Percent,Not Available,17.4
Southern Asia,2010,Female,15 - 24,Percent,Not Available,37.8
Southern Asia,2010,Female,15+,Percent,Not Available,33.3
Southern Asia,2010,Female,25+,Percent,Not Available,32.2
Southern Asia,2010,Male,15 - 24,Percent,Not Available,31.7
Southern Asia,2010,Male,15+,Percent,Not Available,28.9
Southern Asia,2010,Male,25+,Percent,Not Available,28.2
Southern Asia,2010,Total,15 - 24,Percent,Not Available,33.3
Southern Asia,2010,Total,15+,Percent,Not Available,30
Southern Asia,2010,Total,25+,Percent,Not Available,29.2
Southern Asia,2005,Female,15 - 24,Percent,Not Available,44.2
Southern Asia,2005,Female,15+,Percent,Not Available,41.9
Southern Asia,2005,Female,25+,Percent,Not Available,41.3
Southern Asia,2005,Male,15 - 24,Percent,Not Available,36.1
Southern Asia,2005,Male,15+,Percent,Not Available,34.6
Southern Asia,2005,Male,25+,Percent,Not Available,34.1
Southern Asia,2005,Total,15 - 24,Percent,Not Available,38.4
Southern Asia,2005,Total,15+,Percent,Not Available,36.7
Southern Asia,2005,Total,25+,Percent,Not Available,36.2
Southern Asia,2000,Female,15 - 24,Percent,Not Available,52.5
Southern Asia,2000,Female,15+,Percent,Not Available,49.4
Southern Asia,2000,Female,25+,Percent,Not Available,48.4
Southern Asia,2000,Male,15 - 24,Percent,Not Available,41.2
Southern Asia,2000,Male,15+,Percent,Not Available,39.4
Southern Asia,2000,Male,25+,Percent,Not Available,38.9
Southern Asia,2000,Total,15 - 24,Percent,Not Available,44.4
Southern Asia,2000,Total,15+,Percent,Not Available,42.2
Southern Asia,2000,Total,25+,Percent,Not Available,41.5
Sub-Saharan Africa,2015,Female,15 - 24,Percent,Not Available,36.6
Sub-Saharan Africa,2015,Female,15+,Percent,Not Available,35.1
Sub-Saharan Africa,2015,Female,25+,Percent,Not Available,34.6
Sub-Saharan Africa,2015,Male,15 - 24,Percent,Not Available,37.2
Sub-Saharan Africa,2015,Male,15+,Percent,Not Available,32.1
Sub-Saharan Africa,2015,Male,25+,Percent,Not Available,30.4
Sub-Saharan Africa,2015,Total,15 - 24,Percent,Not Available,36.9
Sub-Saharan Africa,2015,Total,15+,Percent,Not Available,33.5
Sub-Saharan Africa,2015,Total,25+,Percent,Not Available,32.3
Sub-Saharan Africa,2010,Female,15 - 24,Percent,Not Available,43.9
Sub-Saharan Africa,2010,Female,15+,Percent,Not Available,41.6
Sub-Saharan Africa,2010,Female,25+,Percent,Not Available,40.8
Sub-Saharan Africa,2010,Male,15 - 24,Percent,Not Available,44.1
Sub-Saharan Africa,2010,Male,15+,Percent,Not Available,38.1
Sub-Saharan Africa,2010,Male,25+,Percent,Not Available,36.1
Sub-Saharan Africa,2010,Total,15 - 24,Percent,Not Available,44
Sub-Saharan Africa,2010,Total,15+,Percent,Not Available,39.7
Sub-Saharan Africa,2010,Total,25+,Percent,Not Available,38.2
Sub-Saharan Africa,2005,Female,15 - 24,Percent,Not Available,50
Sub-Saharan Africa,2005,Female,15+,Percent,Not Available,47.3
Sub-Saharan Africa,2005,Female,25+,Percent,Not Available,46.2
