"Country or Area","Year(s)","Variant","Value"
"Angola","2015","Constant-fertility scenario","44.114"
"Angola","2015","High variant","44.114"
"Angola","2015","Low variant","44.114"
"Angola","2015","Medium variant","44.114"
"Angola","2010","Constant-fertility scenario","40.818"
"Angola","2010","High variant","40.818"
"Angola","2010","Low variant","40.818"
"Angola","2010","Medium variant","40.818"
"Angola","2005","Medium variant","37.501"
"Angola","2000","Medium variant","34.2"
"Angola","1995","Estimate variant","30.956"
"Angola","1990","Estimate variant","27.579"
"Angola","1985","Estimate variant","24.187"
"Angola","1980","Estimate variant","20.894"
"Angola","1975","Estimate variant","17.794"
"Angola","1970","Estimate variant","14.958"
"Angola","1965","Estimate variant","12.505"
"Angola","1960","Estimate variant","10.435"
"Angola","1955","Estimate variant","8.902"
"Angola","1950","Estimate variant","7.576"
"Anguilla","2030","Constant-fertility scenario","100"
"Anguilla","2030","High variant","100"
"Anguilla","2030","Low variant","100"
"Anguilla","2030","Medium variant","100"
"Anguilla","2025","Constant-fertility scenario","100"
"Anguilla","2025","High variant","100"
"Anguilla","2025","Low variant","100"
"Anguilla","2025","Medium variant","100"
"Anguilla","2020","Constant-fertility scenario","100"
"Anguilla","2020","High variant","100"
"Anguilla","2020","Low variant","100"
"Anguilla","2020","Medium variant","100"
"Anguilla","2015","Constant-fertility scenario","100"
"Anguilla","2015","High variant","100"
"Anguilla","2015","Low variant","100"
"Anguilla","2015","Medium variant","100"
"Anguilla","2010","Constant-fertility scenario","100"
"Anguilla","2010","High variant","100"
"Anguilla","2010","Low variant","100"
"Anguilla","2010","Medium variant","100"
"Anguilla","2005","Medium variant","100"
"Anguilla","2000","Medium variant","100"
"Anguilla","1995","Estimate variant","100"
"Anguilla","1990","Estimate variant","100"
"Anguilla","1985","Estimate variant","100"
"Anguilla","1980","Estimate variant","100"
"Anguilla","1975","Estimate variant","100"
"Anguilla","1970","Estimate variant","100"
"Anguilla","1965","Estimate variant","100"
"Anguilla","1960","Estimate variant","100"
"Anguilla","1955","Estimate variant","100"
"Anguilla","1950","Estimate variant","100"
"Antigua and Barbuda","2030","Constant-fertility scenario","52.778"
"Antigua and Barbuda","2030","High variant","52.778"
"Antigua and Barbuda","2030","Low variant","52.778"
"Antigua and Barbuda","2030","Medium variant","52.778"
"Antigua and Barbuda","2025","Constant-fertility scenario","49.695"
"Antigua and Barbuda","2025","High variant","49.695"
"Antigua and Barbuda","2025","Low variant","49.695"
"Antigua and Barbuda","2025","Medium variant","49.695"
"Antigua and Barbuda","2020","Constant-fertility scenario","46.512"
"Antigua and Barbuda","2020","High variant","46.512"
"Antigua and Barbuda","2020","Low variant","46.512"
"Antigua and Barbuda","2020","Medium variant","46.512"
"Antigua and Barbuda","2015","Constant-fertility scenario","43.253"
"Antigua and Barbuda","2015","High variant","43.253"
"Antigua and Barbuda","2015","Low variant","43.253"
"Antigua and Barbuda","2015","Medium variant","43.253"
"Antigua and Barbuda","2010","Constant-fertility scenario","40.531"
"Antigua and Barbuda","2010","High variant","40.531"
"Antigua and Barbuda","2010","Low variant","40.531"
"Antigua and Barbuda","2010","Medium variant","40.531"
"Antigua and Barbuda","2005","Medium variant","38.383"
"Antigua and Barbuda","2000","Medium variant","36.817"
"Antigua and Barbuda","1995","Estimate variant","35.834"
"Antigua and Barbuda","1990","Estimate variant","35.426"
"Antigua and Barbuda","1985","Estimate variant","35.021"
"Antigua and Barbuda","1980","Estimate variant","34.618"
"Antigua and Barbuda","1975","Estimate variant","34.217"
"Antigua and Barbuda","1970","Estimate variant","33.818"
"Antigua and Barbuda","1965","Estimate variant","36.608"
"Antigua and Barbuda","1960","Estimate variant","39.655"
"Antigua and Barbuda","1955","Estimate variant","42.784"
"Antigua and Barbuda","1950","Estimate variant","45.972"
"Argentina","2030","Constant-fertility scenario","91.937"
"Argentina","2030","High variant","91.937"
"Argentina","2030","Low variant","91.937"
"Argentina","2030","Medium variant","91.937"
"Argentina","2025","Constant-fertility scenario","91.41"
"Argentina","2025","High variant","91.41"
"Argentina","2025","Low variant","91.41"
"Argentina","2025","Medium variant","91.41"
"Argentina","2020","Constant-fertility scenario","90.846"
"Argentina","2020","High variant","90.846"
"Argentina","2020","Low variant","90.846"
"Argentina","2020","Medium variant","90.846"
"Argentina","2015","Constant-fertility scenario","90.242"
"Argentina","2015","High variant","90.242"
"Argentina","2015","Low variant","90.242"
"Argentina","2015","Medium variant","90.242"
"Argentina","2010","Constant-fertility scenario","89.599"
"Argentina","2010","High variant","89.599"
"Argentina","2010","Low variant","89.599"
"Argentina","2010","Medium variant","89.599"
"Argentina","2005","Medium variant","88.918"
"Argentina","2000","Medium variant","88.201"
"Argentina","1995","Estimate variant","87.45"
"Argentina","1990","Estimate variant","86.517"
"Argentina","1985","Estimate variant","84.786"
"Argentina","1980","Estimate variant","82.874"
"Argentina","1975","Estimate variant","80.726"
"Argentina","1970","Estimate variant","78.391"
"Argentina","1965","Estimate variant","76.113"
"Argentina","1960","Estimate variant","73.612"
"Argentina","1955","Estimate variant","69.635"
"Argentina","1950","Estimate variant","65.34"
"Armenia","2030","Constant-fertility scenario","75.071"
"Armenia","2030","High variant","75.071"
"Armenia","2030","Low variant","75.071"
"Armenia","2030","Medium variant","75.071"
"Armenia","2025","Constant-fertility scenario","73.296"
"Armenia","2025","High variant","73.296"
"Armenia","2025","Low variant","73.296"
"Armenia","2025","Medium variant","73.296"
"Armenia","2020","Constant-fertility scenario","71.393"
"Armenia","2020","High variant","71.393"
"Armenia","2020","Low variant","71.393"
"Armenia","2020","Medium variant","71.393"
"Armenia","2015","Constant-fertility scenario","69.778"
"Armenia","2015","High variant","69.778"
"Armenia","2015","Low variant","69.778"
"Armenia","2015","Medium variant","69.778"
"Armenia","2010","Constant-fertility scenario","68.512"
"Armenia","2010","High variant","68.512"
"Armenia","2010","Low variant","68.512"
"Armenia","2010","Medium variant","68.512"
"Armenia","2005","Medium variant","67.642"
"Armenia","2000","Medium variant","67.2"
"Armenia","1995","Estimate variant","67.2"
"Armenia","1990","Estimate variant","67.2"
"Armenia","1985","Estimate variant","66.569"
"Armenia","1980","Estimate variant","65.666"
"Armenia","1975","Estimate variant","62.972"
"Armenia","1970","Estimate variant","59.431"
"Armenia","1965","Estimate variant","55.383"
"Armenia","1960","Estimate variant","51.22"
"Armenia","1955","Estimate variant","47.041"
"Armenia","1950","Estimate variant","42.903"
"Aruba","2030","Constant-fertility scenario","64.068"
"Aruba","2030","High variant","64.068"
"Aruba","2030","Low variant","64.068"
"Aruba","2030","Medium variant","64.068"
"Aruba","2025","Constant-fertility scenario","61.546"
"Aruba","2025","High variant","61.546"
"Aruba","2025","Low variant","61.546"
"Aruba","2025","Medium variant","61.546"
"Aruba","2020","Constant-fertility scenario","58.877"
"Aruba","2020","High variant","58.877"
"Aruba","2020","Low variant","58.877"
"Aruba","2020","Medium variant","58.877"
"Aruba","2015","Constant-fertility scenario","56.064"
"Aruba","2015","High variant","56.064"
"Aruba","2015","Low variant","56.064"
"Aruba","2015","Medium variant","56.064"
"Aruba","2010","Constant-fertility scenario","53.739"
"Aruba","2010","High variant","53.739"
"Aruba","2010","Low variant","53.739"
"Aruba","2010","Medium variant","53.739"
"Aruba","2005","Medium variant","51.969"
"Aruba","2000","Medium variant","50.795"
"Aruba","1995","Estimate variant","50.243"
"Aruba","1990","Estimate variant","50.319"
"Aruba","1985","Estimate variant","50.395"
"Aruba","1980","Estimate variant","50.471"
"Aruba","1975","Estimate variant","50.547"
"Aruba","1970","Estimate variant","50.625"
"Aruba","1965","Estimate variant","50.7"
"Aruba","1960","Estimate variant","50.776"
"Aruba","1955","Estimate variant","50.852"
"Aruba","1950","Estimate variant","50.928"
"Asia","2030","Constant-fertility scenario","54.119"
"Asia","2030","High variant","54.119"
"Asia","2030","Low variant","54.119"
"Asia","2030","Medium variant","54.119"
"Asia","2025","Constant-fertility scenario","51.449"
"Asia","2025","High variant","51.449"
"Asia","2025","Low variant","51.449"
"Asia","2025","Medium variant","51.449"
"Asia","2020","Constant-fertility scenario","48.697"
"Asia","2020","High variant","48.697"
"Asia","2020","Low variant","48.697"
"Asia","2020","Medium variant","48.697"
"Asia","2015","Constant-fertility scenario","45.877"
"Asia","2015","High variant","45.877"
"Asia","2015","Low variant","45.877"
"Asia","2015","Medium variant","45.877"
"Asia","2010","Constant-fertility scenario","43.031"
"Asia","2010","High variant","43.031"
"Asia","2010","Low variant","43.031"
"Asia","2010","Medium variant","43.031"
"Asia","2005","Medium variant","40.217"
"Asia","2000","Medium variant","37.456"
"Asia","1995","Estimate variant","34.803"
"Asia","1990","Estimate variant","32.335"
"Asia","1985","Estimate variant","29.449"
"Asia","1980","Estimate variant","26.876"
"Asia","1975","Estimate variant","24.699"
"Asia","1970","Estimate variant","23.404"
"Asia","1965","Estimate variant","22.423"
"Asia","1960","Estimate variant","20.799"
"Asia","1955","Estimate variant","19.018"
"Asia","1950","Estimate variant","17.428"
"Australia","2030","Constant-fertility scenario","95.896"
"Australia","2030","High variant","95.896"
"Australia","2030","Low variant","95.896"
"Australia","2030","Medium variant","95.896"
"Australia","2025","Constant-fertility scenario","95.639"
"Australia","2025","High variant","95.639"
"Australia","2025","Low variant","95.639"
"Australia","2025","Medium variant","95.639"
"Australia","2020","Constant-fertility scenario","95.364"
"Australia","2020","High variant","95.364"
"Australia","2020","Low variant","95.364"
"Australia","2020","Medium variant","95.364"
"Australia","2015","Constant-fertility scenario","94.838"
"Australia","2015","High variant","94.838"
"Australia","2015","Low variant","94.838"
"Australia","2015","Medium variant","94.838"
"Australia","2010","Constant-fertility scenario","93.986"
"Australia","2010","High variant","93.986"
"Australia","2010","Low variant","93.986"
"Australia","2010","Medium variant","93.986"
"Australia","2005","Medium variant","92.679"
"Australia","2000","Medium variant","90.717"
"Australia","1995","Estimate variant","87.799"
"Australia","1990","Estimate variant","85.087"
"Australia","1985","Estimate variant","85.46"
"Australia","1980","Estimate variant","85.76"
"Australia","1975","Estimate variant","85.921"
"Australia","1970","Estimate variant","85.182"
"Australia","1965","Estimate variant","82.961"
"Australia","1960","Estimate variant","80.606"
"Australia","1955","Estimate variant","77.977"
"Australia","1950","Estimate variant","75.103"
"Australia/New Zealand","2030","Constant-fertility scenario","94.922"
"Australia/New Zealand","2030","High variant","94.922"
"Australia/New Zealand","2030","Low variant","94.922"
"Australia/New Zealand","2030","Medium variant","94.922"
"Australia/New Zealand","2025","Constant-fertility scenario","94.583"
"Australia/New Zealand","2025","High variant","94.583"
"Australia/New Zealand","2025","Low variant","94.583"
"Australia/New Zealand","2025","Medium variant","94.583"
"Australia/New Zealand","2020","Constant-fertility scenario","94.231"
"Australia/New Zealand","2020","High variant","94.231"
"Australia/New Zealand","2020","Low variant","94.231"
"Australia/New Zealand","2020","Medium variant","94.231"
"Australia/New Zealand","2015","Constant-fertility scenario","93.669"
"Australia/New Zealand","2015","High variant","93.669"
"Australia/New Zealand","2015","Low variant","93.669"
"Australia/New Zealand","2015","Medium variant","93.669"
"Australia/New Zealand","2010","Constant-fertility scenario","92.839"
"Australia/New Zealand","2010","High variant","92.839"
"Australia/New Zealand","2010","Low variant","92.839"
"Australia/New Zealand","2010","Medium variant","92.839"
"Australia/New Zealand","2005","Medium variant","91.642"
"Australia/New Zealand","2000","Medium variant","89.912"
"Australia/New Zealand","1995","Estimate variant","87.389"
"Australia/New Zealand","1990","Estimate variant","85.03"
"Australia/New Zealand","1985","Estimate variant","85.15"
"Australia/New Zealand","1980","Estimate variant","85.328"
"Australia/New Zealand","1975","Estimate variant","85.35"
"Australia/New Zealand","1970","Estimate variant","84.434"
"Australia/New Zealand","1965","Estimate variant","82.198"
"Australia/New Zealand","1960","Estimate variant","79.742"
"Australia/New Zealand","1955","Estimate variant","77.158"
"Australia/New Zealand","1950","Estimate variant","74.617"
"Austria","2030","Constant-fertility scenario","76.378"
"Austria","2030","High variant","76.378"
"Austria","2030","Low variant","76.378"
"Austria","2030","Medium variant","76.378"
"Austria","2025","Constant-fertility scenario","74.699"
"Austria","2025","High variant","74.699"
"Austria","2025","Low variant","74.699"
"Austria","2025","Medium variant","74.699"
"Austria","2020","Constant-fertility scenario","72.898"
"Austria","2020","High variant","72.898"
"Austria","2020","Low variant","72.898"
"Austria","2020","Medium variant","72.898"
"Austria","2015","Constant-fertility scenario","70.966"
"Austria","2015","High variant","70.966"
"Austria","2015","Low variant","70.966"
"Austria","2015","Medium variant","70.966"
"Austria","2010","Constant-fertility scenario","69.346"
"Austria","2010","High variant","69.346"
"Austria","2010","Low variant","69.346"
"Austria","2010","Medium variant","69.346"
"Austria","2005","Medium variant","68.103"
"Austria","2000","Medium variant","67.283"
"Austria","1995","Estimate variant","66.917"
"Austria","1990","Estimate variant","67.017"
"Austria","1985","Estimate variant","67.117"
"Austria","1980","Estimate variant","67.226"
"Austria","1975","Estimate variant","67.376"
"Austria","1970","Estimate variant","67.458"
"Austria","1965","Estimate variant","67.212"
"Austria","1960","Estimate variant","66.777"
"Austria","1955","Estimate variant","65.207"
"Austria","1950","Estimate variant","63.604"
"Azerbaijan","2030","Constant-fertility scenario","61.506"
"Azerbaijan","2030","High variant","61.506"
"Azerbaijan","2030","Low variant","61.506"
"Azerbaijan","2030","Medium variant","61.506"
"Azerbaijan","2025","Constant-fertility scenario","58.835"
"Azerbaijan","2025","High variant","58.835"
"Azerbaijan","2025","Low variant","58.835"
"Azerbaijan","2025","Medium variant","58.835"
"Azerbaijan","2020","Constant-fertility scenario","56.019"
"Azerbaijan","2020","High variant","56.019"
"Azerbaijan","2020","Low variant","56.019"
"Azerbaijan","2020","Medium variant","56.019"
"Azerbaijan","2015","Constant-fertility scenario","53.883"
"Azerbaijan","2015","High variant","53.883"
"Azerbaijan","2015","Low variant","53.883"
"Azerbaijan","2015","Medium variant","53.883"
"Azerbaijan","2010","Constant-fertility scenario","52.496"
"Azerbaijan","2010","High variant","52.496"
"Azerbaijan","2010","Low variant","52.496"
"Azerbaijan","2010","Medium variant","52.496"
"Azerbaijan","2005","Medium variant","51.897"
"Azerbaijan","2000","Medium variant","51.897"
"Azerbaijan","1995","Estimate variant","52.903"
"Azerbaijan","1990","Estimate variant","53.906"
"Azerbaijan","1985","Estimate variant","53.635"
"Azerbaijan","1980","Estimate variant","52.834"
"Azerbaijan","1975","Estimate variant","51.499"
"Azerbaijan","1970","Estimate variant","49.943"
"Azerbaijan","1965","Estimate variant","48.974"
"Azerbaijan","1960","Estimate variant","48.065"
"Azerbaijan","1955","Estimate variant","47.157"
"Azerbaijan","1950","Estimate variant","46.252"
"Bahamas","2030","Constant-fertility scenario","92.932"
"Bahamas","2030","High variant","92.932"
"Bahamas","2030","Low variant","92.932"
"Bahamas","2030","Medium variant","92.932"
"Bahamas","2025","Constant-fertility scenario","92.473"
"Bahamas","2025","High variant","92.473"
"Bahamas","2025","Low variant","92.473"
"Bahamas","2025","Medium variant","92.473"
"Bahamas","2020","Constant-fertility scenario","91.984"
"Bahamas","2020","High variant","91.984"
"Bahamas","2020","Low variant","91.984"
"Bahamas","2020","Medium variant","91.984"
"Bahamas","2015","Constant-fertility scenario","91.46"
"Bahamas","2015","High variant","91.46"
"Bahamas","2015","Low variant","91.46"
"Bahamas","2015","Medium variant","91.46"
"Bahamas","2010","Constant-fertility scenario","90.899"
"Bahamas","2010","High variant","90.899"
"Bahamas","2010","Low variant","90.899"
"Bahamas","2010","Medium variant","90.899"
"Bahamas","2005","Medium variant","89.954"
"Bahamas","2000","Medium variant","88.529"
"Bahamas","1995","Estimate variant","86.483"
"Bahamas","1990","Estimate variant","83.622"
"Bahamas","1985","Estimate variant","79.707"
"Bahamas","1980","Estimate variant","75.136"
"Bahamas","1975","Estimate variant","73.444"
"Bahamas","1970","Estimate variant","71.779"
"Bahamas","1965","Estimate variant","72.973"
"Bahamas","1960","Estimate variant","74.27"
"Bahamas","1955","Estimate variant","75.525"
"Bahamas","1950","Estimate variant","76.74"
"Bahrain","2030","Constant-fertility scenario","95.798"
"Bahrain","2030","High variant","95.798"
"Bahrain","2030","Low variant","95.798"
"Bahrain","2030","Medium variant","95.798"
"Bahrain","2025","Constant-fertility scenario","95.534"
"Bahrain","2025","High variant","95.534"
"Bahrain","2025","Low variant","95.534"
"Bahrain","2025","Medium variant","95.534"
"Bahrain","2020","Constant-fertility scenario","95.253"
"Bahrain","2020","High variant","95.253"
"Bahrain","2020","Low variant","95.253"
"Bahrain","2020","Medium variant","95.253"
"Bahrain","2015","Constant-fertility scenario","94.952"
"Bahrain","2015","High variant","94.952"
"Bahrain","2015","Low variant","94.952"
"Bahrain","2015","Medium variant","94.952"
"Bahrain","2010","Constant-fertility scenario","94.405"
"Bahrain","2010","High variant","94.405"
"Bahrain","2010","Low variant","94.405"
"Bahrain","2010","Medium variant","94.405"
"Bahrain","2005","Medium variant","93.541"
"Bahrain","2000","Medium variant","92.244"
"Bahrain","1995","Estimate variant","90.342"
"Bahrain","1990","Estimate variant","87.578"
"Bahrain","1985","Estimate variant","84.162"
"Bahrain","1980","Estimate variant","80.511"
"Bahrain","1975","Estimate variant","79.233"
"Bahrain","1970","Estimate variant","78.667"
"Bahrain","1965","Estimate variant","82.154"
"Bahrain","1960","Estimate variant","82.32"
"Bahrain","1955","Estimate variant","75.335"
"Bahrain","1950","Estimate variant","63.84"
"Bangladesh","2030","Constant-fertility scenario","44.271"
"Bangladesh","2030","High variant","44.271"
"Bangladesh","2030","Low variant","44.271"
"Bangladesh","2030","Medium variant","44.271"
"Bangladesh","2025","Constant-fertility scenario","40.977"
"Bangladesh","2025","High variant","40.977"
"Bangladesh","2025","Low variant","40.977"
"Bangladesh","2025","Medium variant","40.977"
"Bangladesh","2020","Constant-fertility scenario","37.66"
"Bangladesh","2020","High variant","37.66"
"Bangladesh","2020","Low variant","37.66"
"Bangladesh","2020","Medium variant","37.66"
"Bangladesh","2015","Constant-fertility scenario","34.358"
"Bangladesh","2015","High variant","34.358"
"Bangladesh","2015","Low variant","34.358"
"Bangladesh","2015","Medium variant","34.358"
"Bangladesh","2010","Constant-fertility scenario","31.099"
"Bangladesh","2010","High variant","31.099"
"Bangladesh","2010","Low variant","31.099"
"Bangladesh","2010","Medium variant","31.099"
"Bangladesh","2005","Medium variant","27.958"
"Bangladesh","2000","Medium variant","24.996"
"Bangladesh","1995","Estimate variant","22.257"
"Bangladesh","1990","Estimate variant","19.769"
"Bangladesh","1985","Estimate variant","17.496"
"Bangladesh","1980","Estimate variant","14.88"
"Bangladesh","1975","Estimate variant","9.859"
"Bangladesh","1970","Estimate variant","7.61"
"Bangladesh","1965","Estimate variant","6.224"
"Bangladesh","1960","Estimate variant","5.142"
"Bangladesh","1955","Estimate variant","4.673"
"Bangladesh","1950","Estimate variant","4.245"
"Barbados","2030","Constant-fertility scenario","66.077"
"Barbados","2030","High variant","66.077"
"Barbados","2030","Low variant","66.077"
"Barbados","2030","Medium variant","66.077"
"Barbados","2025","Constant-fertility scenario","63.681"
"Barbados","2025","High variant","63.681"
"Barbados","2025","Low variant","63.681"
"Barbados","2025","Medium variant","63.681"
"Barbados","2020","Constant-fertility scenario","61.136"
"Barbados","2020","High variant","61.136"
"Barbados","2020","Low variant","61.136"
"Barbados","2020","Medium variant","61.136"
"Barbados","2015","Constant-fertility scenario","58.443"
"Barbados","2015","High variant","58.443"
"Barbados","2015","Low variant","58.443"
