"Country or Area","Year","Sex","Classification","Subclassification","Coverage","Scope","Source","SourceID","Value","Value Footnotes"
"Armenia","2006","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","62293",""
"Armenia","2006","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","81581",""
"Armenia","2006","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","48319",""
"Armenia","2005","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","52060",""
"Armenia","2005","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","66301",""
"Armenia","2005","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","38131",""
"Armenia","2004","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","43445",""
"Armenia","2004","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","57043",""
"Armenia","2004","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","30485",""
"Armenia","2003","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","34783",""
"Armenia","2003","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","49831",""
"Armenia","2003","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","20990",""
"Armenia","2002","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","27324",""
"Armenia","2002","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","41452",""
"Armenia","2002","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","16865",""
"Armenia","2001","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","24483",""
"Armenia","2001","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","33921",""
"Armenia","2001","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","15528",""
"Armenia","2000","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","22706",""
"Armenia","2000","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","29208",""
"Armenia","2000","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","15160",""
"Armenia","1999","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","20157",""
"Armenia","1998","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","18000",""
"Armenia","1997","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","13581",""
"Armenia","1996","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","9469",""
"Armenia","1995","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","7060",""
"Armenia","1994","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1748","1"
"Armenia","1993","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","12173",""
"Armenia","1992","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1395",""
"Armenia","1991","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","337",""
"Armenia","1990","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","241",""
"Austria","2003","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2305",""
"Austria","2003","Total men and women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1763",""
"Austria","2003","Total men and women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","2727",""
"Austria","2003","Men","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","3767",""
"Austria","2003","Men","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","2029",""
"Austria","2003","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2827",""
"Austria","2003","Women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1214",""
"Austria","2003","Women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","1897",""
"Austria","2002","Total men and women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1735",""
"Austria","2002","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2265",""
"Austria","2002","Total men and women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","2689",""
"Austria","2002","Men","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","3712",""
"Austria","2002","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2778",""
"Austria","2002","Men","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","2001",""
"Austria","2002","Women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1193",""
"Austria","2002","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","1648",""
"Austria","2002","Women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","1864",""
"Austria","2001","Total men and women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1912",""
"Austria","2001","Total men and women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","2554",""
"Austria","2001","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2254",""
"Austria","2001","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2782",""
"Austria","2001","Men","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","3453",""
"Austria","2001","Men","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","2273",""
"Austria","2001","Women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1207",""
"Austria","2001","Women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","1845",""
"Austria","2001","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","1623",""
"Austria","2000","Total men and women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1691",""
"Austria","2000","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2112",""
"Austria","2000","Total men and women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","2490",""
"Austria","2000","Men","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","3354",""
"Austria","2000","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","2552",""
"Austria","2000","Men","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1953",""
"Austria","2000","Women","ISIC-Rev.3","Total.","Wage earners","Earnings per month","Insurance records","# 6","1174",""
"Austria","2000","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Insurance records","# 4","1577",""
"Austria","2000","Women","ISIC-Rev.3","Total.","Salaried employees","Earnings per month","Insurance records","# 8","1797",""
"Azerbaijan","2008","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","274.4",""
"Azerbaijan","2008","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","324.6",""
"Azerbaijan","2008","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","184.5",""
"Azerbaijan","2007","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","215.8",""
"Azerbaijan","2007","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","277.1",""
"Azerbaijan","2007","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","140",""
"Azerbaijan","2006","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","149",""
"Azerbaijan","2005","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","123.6","2"
"Azerbaijan","2004","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","497081.2",""
"Azerbaijan","2003","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","386974.2",""
"Azerbaijan","2002","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","315406.7",""
"Azerbaijan","2001","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","259990.7",""
"Azerbaijan","2000","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","221606",""
"Azerbaijan","1999","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","184367.5",""
"Azerbaijan","1998","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","168419.2",""
"Bahrain","2008","Total men and women","ISIC-Rev.3","Total.","All persons engaged","Earnings per month","Insurance records","# 0","247","3"
"Bahrain","2008","Men","ISIC-Rev.3","Total.","All persons engaged","Earnings per month","Insurance records","# 0","237","3"
"Bahrain","2008","Women","ISIC-Rev.3","Total.","All persons engaged","Earnings per month","Insurance records","# 0","344","3"
"Bahrain","2007","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","213","3"
"Bahrain","2007","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","205","3"
"Bahrain","2007","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","287","3,4"
"Bahrain","2006","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","206","3"
"Bahrain","2006","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","200","3"
"Bahrain","2006","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","253","3,4"
"Bahrain","2005","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","213","3"
"Bahrain","2005","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","209","3"
"Bahrain","2005","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","243","3,4"
"Bahrain","2004","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","223","3"
"Bahrain","2004","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","221","3"
"Bahrain","2004","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","242","3,4"
"Bahrain","2003","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","228","3"
"Bahrain","2003","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","228","3"
"Bahrain","2003","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","227","3,4"
"Bahrain","2002","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","236","3"
"Bahrain","2002","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","238","3"
"Bahrain","2002","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","224","3,4"
"Bahrain","2001","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","234","3"
"Bahrain","2001","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","237","3"
"Bahrain","2001","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","218","3,4"
"Bahrain","2000","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","242","3"
"Bahrain","2000","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","243","3"
"Bahrain","2000","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","237","3,4"
"Bahrain","1999","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","239","3"
"Bahrain","1999","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","240","3"
"Bahrain","1999","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","231","3,4"
"Bahrain","1998","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","252","3"
"Bahrain","1998","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","251","3"
"Bahrain","1998","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","262","3,4"
"Bahrain","1994","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","239","3"
"Bahrain","1994","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","238","3"
"Bahrain","1994","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","248","3,4"
"Bahrain","1993","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","237","3"
"Bahrain","1993","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","235","3"
"Bahrain","1993","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","253","3,4"
"Bahrain","1992","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","242","3"
"Bahrain","1992","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","239","3"
"Bahrain","1992","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","273","3,4"
"Bahrain","1991","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","239","3"
"Bahrain","1991","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","234","3"
"Bahrain","1991","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","292","3,4"
"Bahrain","1990","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","231","3"
"Bahrain","1990","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","225","3"
"Bahrain","1990","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","295","3,4"
"Bahrain","1989","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","229","3"
"Bahrain","1989","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","223","3"
"Bahrain","1989","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","304","3,4"
"Bahrain","1988","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","233","3"
"Bahrain","1988","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","228","3"
"Bahrain","1988","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","311","3,4"
"Bahrain","1987","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","242","3"
"Bahrain","1987","Men","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","236","3"
"Bahrain","1987","Women","ISIC-Rev.2","Total.","Employees","Earnings per month","Insurance records","# 0","327","3,4"
"Belarus","2008","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","987","5,6"
"Belarus","2008","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1148","5,6"
"Belarus","2008","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","848","5,6"
"Belarus","2007","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","785","5,6"
"Belarus","2007","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","887","5,6"
"Belarus","2007","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","695","5,6"
"Belarus","2006","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","659","5,6"
"Belarus","2006","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","738","5,6"
"Belarus","2006","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","589","5,6"
"Belarus","2005","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","556","5,6"
"Belarus","2005","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","626","5,6"
"Belarus","2005","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","495","5,6"
"Belarus","2004","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","347519",""
"Belarus","2004","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","430","5,6"
"Belarus","2004","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","478","5,6"
"Belarus","2004","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","388","5,6"
"Belarus","2003","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","250686",""
"Belarus","2003","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","297","5,6"
"Belarus","2003","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","334.2","5,6"
"Belarus","2003","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","265.5","5,6"
"Belarus","2002","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","189232",""
"Belarus","2002","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","220.3","5,6"
"Belarus","2002","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","245.8","5,6"
"Belarus","2002","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","198.8","5,6"
"Belarus","2001","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","123021",""
"Belarus","2001","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","165","5,6"
"Belarus","2001","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","181.9","5,6"
"Belarus","2001","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","150.4","5,6"
"Belarus","2000","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","58916","7"
"Belarus","2000","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","87.4","5,6,7"
"Belarus","2000","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","97.2","5,6,7"
"Belarus","2000","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","78.7","5,6,7"
"Belarus","1999","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","19580823",""
"Belarus","1999","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","34587.5","5,6"
"Belarus","1999","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","38540.7","5,6"
"Belarus","1999","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","31051","5,6"
"Belarus","1998","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4635191",""
"Belarus","1998","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","7924.6","5,6"
"Belarus","1998","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","8606.2","5,6"
"Belarus","1998","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","7304.7","5,6"
"Belarus","1997","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","2270110",""
"Belarus","1997","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","3260.3","5,6"
"Belarus","1997","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","3620.3","5,6"
"Belarus","1997","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","2926.4","5,6"
"Belarus","1996","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","1212157",""
"Belarus","1996","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1564.7","5,6"
"Belarus","1996","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1686","5,6"
"Belarus","1996","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1449.5","5,6"
"Belarus","1995","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","755129",""
"Belarus","1995","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1015.4","5,6"
"Belarus","1995","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","1139","5,6"
"Belarus","1995","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","900.4","5,6"
"Belarus","1994","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","98203","8"
"Belarus","1993","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","61208",""
"Belarus","1992","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","5072",""
"Belarus","1991","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","541","9"
"Belarus","1990","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","269",""
"Belarus","1989","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","226",""
"Belarus","1988","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","206",""
"Belarus","1987","Total men and women","ISIC-Rev.2","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","189",""
"Bermuda","2007","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4442","10"
"Bermuda","2007","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4533","10"
"Bermuda","2007","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4333","10"
"Bermuda","2006","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4222","10"
"Bermuda","2006","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4365","10"
"Bermuda","2006","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4062","10"
"Bermuda","2005","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","3912","10"
"Bermuda","2005","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4016","10"
"Bermuda","2005","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","3819","10"
"Bermuda","2004","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","3838","10"
"Bermuda","2004","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","4028","10"
"Bermuda","2004","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment census","# 0","3655","10"
"Bosnia and Herzegovina","2006","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","887.07","11"
