"Country or Area","Year","Value","Value Footnotes","Unit"
"Canada","2009","87.0999984741211","","%"
"Canada","2006","87.8000030517578","","%"
"Canada","2004","90.0999984741211","","%"
"Canada","1999","74.3000030517578","3","%"
"Canada","1996","74.0999984741211","3","%"
"Canada","1994","72.9000015258789","","%"
"Canada","1991","73.0999984741211","3","%"
"Chile","2009","95.5999984741211","3","%"
"Chile","2008","95.3000030517578","3","%"
"Chile","2007","95.1999969482422","3","%"
"Chile","2006","95.2799987792969","3","%"
"Chile","2005","94.9800033569336","3","%"
"Chile","2004","94.8000030517578","9","%"
"Chile","2003","94.4000015258789","9","%"
"Chile","2002","94.0999984741211","9","%"
"Chile","2001","93.5999984741211","9","%"
"Chile","2000","93.3000030517578","9","%"
"Chile","1999","92.0999984741211","9","%"
"Chile","1995","89.4000015258789","9","%"
"China","2004","45.6699981689453","","%"
"China","2003","42.3899993896484","","%"
"China","2002","39.9700012207031","","%"
"China","2001","36.4300003051758","","%"
"China","2000","34.25","","%"
"China","1999","31.9300003051758","","%"
"China","1995","19.6900005340576","","%"
"China, Hong Kong Special Administrative Region","2009","93.2300033569336","","%"
"China, Hong Kong Special Administrative Region","2008","93.2600021362305","","%"
"China, Hong Kong Special Administrative Region","2007","93.2200012207031","","%"
"China, Hong Kong Special Administrative Region","2006","93.1699981689453","","%"
"China, Hong Kong Special Administrative Region","2005","92.9300003051758","","%"
"China, Hong Kong Special Administrative Region","2004","92.3300018310547","","%"
"China, Hong Kong Special Administrative Region","2003","94.6100006103516","","%"
"China, Hong Kong Special Administrative Region","2002","94.1999969482422","","%"
"China, Hong Kong Special Administrative Region","2001","94.8300018310547","","%"
"China, Hong Kong Special Administrative Region","2000","92.7200012207031","","%"
"China, Hong Kong Special Administrative Region","1999","91.2600021362305","","%"
"China, Macao Special Administrative Region","1996","99.9000015258789","","%"
"China, Macao Special Administrative Region","1995","99.9000015258789","","%"
"Colombia","2010","77.370002746582","","%"
"Colombia","2009","76.2699966430664","","%"
"Colombia","2008","75.8499984741211","","%"
"Colombia","2007","74.3600006103516","","%"
"Colombia","2005","72.7099990844727","","%"
"Colombia","2004","71.3399963378906","","%"
"Colombia","2003","69.9700012207031","","%"
"Costa Rica","2015","21.2600002288818","","%"
"Costa Rica","2014","21.1200008392334","","%"
"Costa Rica","2013","26.5900001525879","","%"
"Costa Rica","2012","24.5400009155273","","%"
"Costa Rica","2011","25.5599994659424","","%"
"Costa Rica","2010","24.1399993896484","","%"
"Costa Rica","2009","25.1700000762939","","%"
"Costa Rica","2008","24.8999996185303","","%"
"Croatia","2011","53","","%"
"Croatia","2010","44.2000007629395","","%"
"Croatia","2009","44.2999992370605","","%"
"Croatia","2008","44.2000007629395","","%"
"Croatia","2007","43.2999992370605","","%"
"Croatia","2006","43.0999984741211","","%"
"Croatia","2005","42.7000007629395","","%"
"Croatia","2004","42.7000007629395","","%"
"Croatia","2003","42","","%"
"Croatia","2000","40.0999984741211","","%"
"Croatia","1995","38","","%"
"Croatia","1990","35","","%"
"Cuba","2012","35.7999992370605","","%"
"Cuba","2011","34.7999992370605","","%"
"Cuba","2010","35.7000007629395","","%"
"Cuba","2009","35.9000015258789","","%"
"Cuba","2008","37.0999984741211","","%"
"Cuba","2007","37.0999984741211","","%"
"Cuba","2006","36.7999992370605","","%"
"Cuba","2005","38.7999992370605","","%"
"Cuba","2004","38.7999992370605","","%"
"Cuba","2003","38.5999984741211","","%"
"Cuba","2002","38.5999984741211","","%"
"Cuba","2001","39","","%"
"Cuba","2000","38.2000007629395","","%"
"Cuba","1999","38.0999984741211","","%"
"Cuba","1998","38.2000007629395","","%"
"Cuba","1997","36","","%"
"Cuba","1996","34.2000007629395","","%"
"Cuba","1995","34.2000007629395","","%"
"Cuba","1990","29.7999992370605","","%"
"Cyprus","2005","29.7999992370605","","%"
"Cyprus","2004","28.3999996185303","","%"
"Cyprus","2003","23","","%"
"Cyprus","2002","18.2999992370605","","%"
"Cyprus","2001","15.8999996185303","","%"
"Cyprus","2000","14.3000001907349","","%"
"Czechia","2013","84.6999969482422","","%"
"Czechia","2012","83","","%"
"Czechia","2011","83.3151016235352","","%"
"Czechia","2010","82.311897277832","","%"
"Czechia","2009","81.0896987915039","","%"
"Czechia","2008","81.135498046875","","%"
"Czechia","2007","78.5975036621094","","%"
"Czechia","2006","77.4232025146484","","%"
"Czechia","2005","76.6999969482422","3","%"
"Czechia","2004","75.5","3","%"
"Czechia","2003","75.3000030517578","3","%"
"Czechia","2002","75.3000030517578","3","%"
"Czechia","2001","72.5","3","%"
"Czechia","2000","72.4000015258789","3","%"
"Czechia","1999","72.1999969482422","10","%"
"Czechia","1998","72","","%"
"Czechia","1997","71.0999984741211","","%"
"Czechia","1996","70.9000015258789","","%"
"Czechia","1995","70.8000030517578","","%"
"Czechia","1994","70.5999984741211","","%"
"Czechia","1993","71.4000015258789","","%"
"Czechia","1992","71.3000030517578","","%"
"Czechia","1991","70.9000015258789","","%"
"Czechia","1990","71.1999969482422","","%"
"Denmark","2013","90.8399963378906","","%"
"Denmark","2012","90.7300033569336","","%"
"Denmark","2011","90.7200012207031","","%"
"Denmark","2010","90.3000030517578","3","%"
"Denmark","2009","89.6999969482422","3","%"
"Denmark","2002","87.9100036621094","3","%"
"Denmark","2001","87.6999969482422","3","%"
"Denmark","2000","87.8000030517578","3","%"
"Denmark","1999","87.9000015258789","3","%"
"Denmark","1998","89.0299987792969","3","%"
"Denmark","1997","88.3399963378906","3","%"
"Denmark","1996","87.5800018310547","3","%"
"Denmark","1995","87.3000030517578","3","%"
"Denmark","1994","86.5999984741211","3","%"
"Denmark","1993","86.9000015258789","3","%"
"Denmark","1992","86.5999984741211","3","%"
"Denmark","1991","86.6999969482422","3","%"
"Denmark","1990","86.0999984741211","3","%"
"Dominica","2005","23","","%"
"Dominican Republic","2000","31.3999996185303","","%"
"Ecuador","2012","65.5100021362305","","%"
"Ecuador","2011","63.4199981689453","","%"
"Ecuador","2010","58.8199996948242","","%"
"Ecuador","2009","57.6300010681152","","%"
"Ecuador","2008","57.5499992370605","","%"
"Ecuador","2007","55.1800003051758","","%"
"Ecuador","2006","52.560001373291","","%"
"Ecuador","2005","52.9700012207031","","%"
"El Salvador","2012","47.1100006103516","","%"
"El Salvador","2011","47.3800010681152","","%"
"El Salvador","2010","47.1399993896484","","%"
"El Salvador","2009","47.4900016784668","","%"
"El Salvador","2008","47.8899993896484","","%"
"El Salvador","2007","51.2700004577637","","%"
"Estonia","2013","82.4000015258789","","%"
"Estonia","2012","82.6999969482422","","%"
"Estonia","2011","81.6699981689453","3","%"
"Estonia","2010","81.5999984741211","","%"
"Estonia","2009","80","3","%"
"Estonia","2008","80","3","%"
"Estonia","2007","74","3","%"
"Estonia","2006","74","3","%"
"Estonia","2005","74","3","%"
"Estonia","2004","72","3","%"
"Estonia","2003","72","3","%"
"Estonia","2002","72","3","%"
"Estonia","2001","70","3","%"
"Estonia","2000","70","3","%"
"Estonia","1999","70","","%"
"Estonia","1998","70","","%"
"Estonia","1997","77","","%"
"Estonia","1996","77","","%"
"Estonia","1995","77","","%"
"Estonia","1994","77","","%"
"Estonia","1993","77","","%"
"Estonia","1992","77","","%"
"Estonia","1991","77","","%"
"Estonia","1990","77","","%"
"Finland","2013","83","3","%"
"Finland","2012","83","3","%"
"Finland","2011","83","3","%"
"Finland","2010","83","3","%"
"Finland","2002","81","3","%"
"Finland","2001","81","3","%"
"Finland","2000","80","3","%"
"Finland","1999","80","3","%"
"Finland","1998","79","3","%"
"Finland","1997","78","3","%"
"Finland","1996","78","3","%"
"Finland","1995","77","3","%"
"Finland","1994","77","3","%"
"Finland","1993","77","3","%"
"Finland","1992","77","3","%"
"Finland","1991","76","3","%"
"Finland","1990","76","3","%"
"France","2013","81.5","","%"
"France","2012","81.5","","%"
"France","2011","81.5","10","%"
"France","2004","82.3499984741211","3","%"
"France","2001","81.5100021362305","3","%"
"France","1999","78.8399963378906","","%"
"France","1998","79.0800018310547","11","%"
"France","1995","79","3","%"
"French Guiana","2004","46.9000015258789","","%"
"French Guiana","2001","49.2000007629395","","%"
"French Guiana","1998","12.1000003814697","","%"
"Germany","2010","97.3000030517578","3","%"
"Germany","2007","97","3","%"
"Germany","2004","95.3000030517578","3","%"
"Germany","2001","94.5","3","%"
"Germany","1998","92.8000030517578","3","%"
"Germany","1995","92.0999984741211","3","%"
"Germany","1991","87.5999984741211","3","%"
"Greece","2012","92.0299987792969","","%"
"Greece","2011","88.0999984741211","3","%"
"Greece","2010","87.3199996948242","3","%"
"Greece","2009","87.3199996948242","3","%"
"Greece","2007","85","3","%"
"Greece","1997","67.5","3","%"
"Greece","1992","50.5999984741211","3","%"
"Guadeloupe","2004","39.2999992370605","","%"
"Guadeloupe","2001","40.5","","%"
"Guatemala","2011","44.4000015258789","","%"
"Guatemala","2006","65.1999969482422","","%"
"Guatemala","2002","41.9000015258789","","%"
"Guatemala","1995","29.5","","%"
"Guinea","2009","11","12","%"
"Guinea","2008","11","12","%"
"Guinea","2007","10","12","%"
"Guinea","2006","10","12","%"
"Guinea","2005","10","12","%"
"Guyana","2009","7.19999980926514","","%"
"Honduras","2015","36.9000015258789","","%"
"Honduras","2014","39.0999984741211","","%"
"Honduras","2013","36.5699996948242","","%"
"Honduras","2012","36.9000015258789","","%"
"Honduras","2011","36.2200012207031","","%"
"Honduras","2010","35.2999992370605","","%"
"Honduras","2009","35.5699996948242","","%"
"Honduras","2008","34.6399993896484","","%"
"Honduras","2007","33","","%"
"Honduras","2006","31.6700000762939","","%"
"Honduras","2005","28.8999996185303","","%"
"Honduras","2004","32.2900009155273","","%"
"Honduras","1990","23.3999996185303","","%"
"Hungary","2013","75.0195236206055","","%"
"Hungary","2012","74.0155868530273","","%"
"Hungary","2011","72.9000015258789","3","%"
"Hungary","2010","72.4000015258789","3","%"
"Hungary","2009","72.0999984741211","3","%"
"Hungary","2008","71","3","%"
"Hungary","2007","69.9000015258789","3","%"
"Hungary","2006","67.4000015258789","3","%"
"Hungary","2005","64.8000030517578","3","%"
"Hungary","2004","62.2000007629395","3","%"
"Hungary","2003","59.0999984741211","3","%"
"Hungary","2002","56","3","%"
"Hungary","2001","53.4000015258789","3","%"
"Hungary","2000","51","3","%"
"Hungary","1999","49.0999984741211","3","%"
"Hungary","1998","47.5999984741211","3","%"
"Hungary","1997","46","3","%"
"Hungary","1996","44.9000015258789","3","%"
"Hungary","1995","44.2000007629395","3","%"
"Hungary","1994","43.5","3","%"
"Hungary","1993","42.7000007629395","3","%"
"Hungary","1992","35","3","%"
"Hungary","1990","42.9000015258789","3","%"
"Iceland","2010","91","3","%"
"Iceland","2008","92","3","%"
"Iceland","2005","89","","%"
"Iceland","2004","89","","%"
"Iceland","2003","89","","%"
"Iceland","2002","89","","%"
"Iceland","2001","90","","%"
"Iceland","2000","90","","%"
"Iceland","1999","90","","%"
"Iceland","1998","90","","%"
"Iceland","1997","90","","%"
"Iceland","1996","90","","%"
"Iceland","1995","90","","%"
"Iceland","1994","90","","%"
"Iceland","1993","90","","%"
"Iceland","1992","90","","%"
"Iceland","1991","90","","%"
"Iceland","1990","90","","%"
"Iraq","2015","38.4000015258789","13","%"
"Iraq","2014","31.7999992370605","14","%"
"Iraq","2013","33.2999992370605","14","%"
"Iraq","2012","32.2000007629395","","%"
"Iraq","2011","27","","%"
"Iraq","2010","23.7999992370605","","%"
"Iraq","2009","27","","%"
"Iraq","2008","26","","%"
"Iraq","2005","25.7000007629395","","%"
"Ireland","2011","68.6100006103516","","%"
"Ireland","2009","76.9700012207031","","%"
"Ireland","2007","65.3199996948242","3","%"
"Ireland","2001","93","","%"
"Ireland","1999","93","","%"
"Ireland","1993","65","3","%"
"Ireland","1991","66","3","%"
"Ireland","1990","66","3","%"
"Israel","2013","98.8000030517578","","%"
"Israel","2012","98.5","","%"
"Israel","2011","98.1999969482422","3","%"
"Israel","2010","98.0999984741211","3","%"
"Israel","2009","98","3","%"
"Israel","2008","97.6999969482422","3","%"
"Israel","2007","97.5999984741211","3","%"
"Israel","2006","97.3000030517578","3","%"
"Israel","2005","97","3","%"
"Israel","2004","96.5","3","%"
"Israel","2003","96","3","%"
"Israel","2002","95.4000015258789","3","%"
"Israel","2001","95","3","%"
"Israel","2000","94.3000030517578","3","%"
"Israel","1995","91.1999969482422","3","%"
"Israel","1990","88.5","3","%"
"Italy","2009","94","","%"
"Japan","2011","75.8000030517578","","%"
"Japan","2010","75.0999984741211","","%"
"Japan","2009","73.6999969482422","","%"
"Japan","2008","72.6999969482422","","%"
"Japan","2007","71.6999969482422","","%"
"Japan","2006","71","","%"
"Japan","2005","69.2564010620117","","%"
"Japan","2004","68.0697021484375","","%"
"Japan","2003","67","","%"
"Japan","2002","65","","%"
"Japan","2001","64","","%"
"Japan","2000","62","","%"
"Japan","1995","54","","%"
"Japan","1990","44","","%"
"Jordan","2012","59.7000007629395","","%"
"Jordan","2011","67","","%"
"Jordan","2010","65","","%"
"Jordan","2009","63","","%"
"Jordan","2008","63","","%"
"Jordan","2007","62","","%"
"Jordan","2006","60","","%"
"Jordan","2005","59","","%"
"Kenya","2012","4.90000009536743","","%"
"Kenya","2011","4.90000009536743","","%"
"Kenya","2010","4.90000009536743","","%"
"Kenya","2009","4.90000009536743","","%"
"Kenya","2008","4.90000009536743","","%"
"Kenya","2007","4.90000009536743","","%"
"Kenya","2006","4.90000009536743","","%"
"Kenya","2005","4.90000009536743","","%"
"Kenya","2004","4.90000009536743","","%"
"Kenya","2003","4.90000009536743","","%"
"Kenya","2002","4.90000009536743","","%"
"Kenya","2001","4.90000009536743","","%"
"Kenya","2000","4.90000009536743","","%"
"Kenya","1999","4.90000009536743","","%"
"Kenya","1998","4.90000009536743","","%"
"Kenya","1997","4.90000009536743","","%"
"Kenya","1996","4.90000009536743","","%"
"Kenya","1995","4.90000009536743","","%"
"Kenya","1990","4.90000009536743","","%"
"Kuwait","2013","100","","%"
"Kuwait","2012","100","","%"
"Kuwait","2011","100","","%"
"Kuwait","2010","100","","%"
"Kuwait","2009","100","","%"
"Kuwait","2008","100","","%"
"Kuwait","2007","100","","%"
"Kuwait","2006","100","","%"
"Kuwait","2005","100","","%"
"Kuwait","2004","100","","%"
"Kuwait","2003","100","","%"
"Kuwait","2002","100","","%"
"Kuwait","2001","100","","%"
"Kuwait","2000","100","","%"
"Kyrgyzstan","2009","19.7999992370605","","%"
"Kyrgyzstan","1999","23.1000003814697","","%"
"Latvia","2013","71.0999984741211","","%"
"Latvia","2012","70.8000030517578","","%"
"Latvia","2011","67.8000030517578","","%"
"Latvia","2010","64.3000030517578","","%"
"Latvia","2009","66.5","","%"
"Latvia","2008","61.2999992370605","","%"
"Latvia","2007","64.0999984741211","","%"
"Latvia","2006","64.6999969482422","","%"
"Latvia","2005","65.5","","%"
"Latvia","2004","66.0999984741211","","%"
"Latvia","2003","70.1999969482422","","%"
"Latvia","2002","65.1999969482422","","%"
"Lebanon","2004","67.4000015258789","","%"
"Liechtenstein","2015","99.9000015258789","","%"
"Lithuania","2012","74.0999984741211","","%"
"Lithuania","2003","69.8000030517578","","%"
"Lithuania","2002","68.3000030517578","","%"
"Luxembourg","2013","98.1999969482422","","%"
"Luxembourg","2012","98.0999984741211","","%"
"Luxembourg","2011","99","","%"
"Luxembourg","2010","97.0999984741211","","%"
"Luxembourg","2003","100","","%"
"Luxembourg","1999","93","","%"
"Luxembourg","1995","87.5","","%"
"Luxembourg","1994","87.3000030517578","","%"
"Luxembourg","1991","90.4000015258789","","%"
"Luxembourg","1990","90.4000015258789","","%"
"Maldives","2012","100","","%"
"Maldives","2011","100","","%"
"Maldives","2010","100","","%"
"Maldives","2009","100","","%"
"Maldives","2008","100","","%"
"Maldives","2007","100","","%"
"Maldives","2006","100","","%"
"Maldives","2005","100","","%"
"Maldives","2004","100","","%"
"Maldives","2003","100","","%"
"Maldives","2002","100","","%"
"Maldives","2001","100","","%"
"Maldives","2000","100","","%"
"Maldives","1999","100","","%"
"Malta","2013","100","","%"
"Malta","2012","100","","%"
"Malta","2011","100","","%"
"Malta","2010","100","","%"
"Malta","2009","100","","%"
"Malta","2008","100","","%"
"Malta","2007","100","","%"
"Malta","2006","100","","%"
"Malta","2005","100","","%"
"Malta","2004","100","","%"
"Malta","2003","100","","%"
"Malta","2002","100","","%"
"Malta","2001","100","","%"
"Malta","2000","100","","%"
"Marshall Islands","2007","43.2999992370605","","%"
"Martinique","2004","48.2000007629395","","%"
"Martinique","2001","44.5200004577637","","%"
"Mauritius","2000","20","","%"
"Mauritius","1999","15","","%"
"Mauritius","1998","10","","%"
"Mauritius","1997","10","","%"
"Mauritius","1996","10","","%"
"Mauritius","1995","10","","%"
"Mauritius","1990","10","","%"
"Mexico","2010","70.5699996948242","3","%"
"Mexico","2005","67.5999984741211","3","%"
"Mexico","2000","59.2000007629395","3","%"
"Mexico","1995","57.4000015258789","","%"
"Mexico","1990","50.0999984741211","","%"
"Monaco","2015","100","","%"
"Monaco","2014","100","","%"
"Monaco","2013","100","","%"
"Monaco","2012","100","","%"
"Monaco","2011","100","","%"
"Monaco","2010","100","","%"
"Monaco","2009","100","","%"
"Monaco","2008","100","","%"
"Monaco","2007","100","","%"
"Monaco","2006","100","","%"
"Monaco","2005","100","","%"
"Monaco","2004","100","","%"
"Monaco","2003","100","","%"
"Monaco","2002","100","","%"
"Monaco","2001","100","","%"
"Monaco","2000","100","","%"
"Monaco","1999","100","","%"
"Monaco","1998","100","","%"
"Monaco","1997","100","","%"
"Monaco","1996","100","","%"
"Monaco","1995","100","","%"
"Monaco","1990","100","","%"
"Montenegro","2012","65.5","","%"
"Montenegro","2011","65.5","","%"
"Montenegro","2010","65","","%"
"Montenegro","2009","35","","%"
"Morocco","2015","74","","%"
"Morocco","2014","73","","%"
"Morocco","2013","72","","%"
"Morocco","2012","72","","%"
"Netherlands","2012","99.4000015258789","","%"
"Netherlands","2010","99.3199996948242","3","%"
"Netherlands","2008","99.3000030517578","3","%"
"Netherlands","2006","99.0899963378906","3","%"
"Netherlands","2005","99","3","%"
"Netherlands","2004","98.8000030517578","3","%"
"Netherlands","2003","98.5800018310547","3","%"
"Netherlands","2002","98.5","3","%"
"Netherlands","2001","98.3499984741211","3","%"
"Netherlands","2000","98.1500015258789","3","%"
"Netherlands","1999","97.9499969482422","3","%"
"Netherlands","1998","97.75","3","%"
"Netherlands","1997","97.5999984741211","3","%"
"Netherlands","1996","97.4000015258789","3","%"
"Netherlands","1995","97.3000030517578","3","%"
"Netherlands","1994","97","3","%"
"Netherlands","1993","96.9000015258789","3","%"
"Netherlands","1992","96.1999969482422","3","%"
"Netherlands","1991","95.5","3","%"
"Netherlands","1990","96","3","%"
"Norway","2013","85.3000030517578","","%"
"Norway","2012","85.1999969482422","","%"
"Norway","2011","85","3","%"
"Norway","2010","85.0999984741211","3","%"
"Norway","2009","85.1999969482422","3","%"
"Norway","2008","83.6999969482422","3","%"
"Norway","2007","83.5999984741211","3","%"
"Norway","2006","84.0999984741211","3","%"
"Norway","2005","83.5999984741211","3","%"
"Norway","2004","80.9561996459961","3","%"
"Norway","2003","81.1938018798828","3","%"
"Norway","2002","80.46240234375","3","%"
"Norway","2001","80.8302001953125","3","%"
"Norway","2000","79.9497985839844","3","%"
"Norway","1999","80","3","%"
"Norway","1998","80","3","%"
"Norway","1997","80","3","%"
"Norway","1996","80","3","%"
"Norway","1995","80","3","%"
"Norway","1994","80","3","%"
"Norway","1993","80","3","%"
"Norway","1990","77","3","%"
"Panama","2015","59","","%"
"Panama","2014","58","","%"
"Panama","2013","58","","%"
"Panama","2012","56","","%"
"Panama","2011","56","","%"
"Panama","2010","57","","%"
"Panama","2009","57","","%"
"Panama","2008","56","","%"
"Panama","2007","55","","%"
"Panama","2006","73","","%"
"Panama","2005","46","","%"
"Paraguay","2015","11.8800001144409","","%"
"Paraguay","2014","9.19999980926514","","%"
