"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2015","2015",5817378,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","1999","1999",259736,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2000","2000",276799,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2001","2001",308477,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2002","2002",317318,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2003","2003",342805,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2004","2004",343946,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2005","2005",367462,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2006","2006",371945,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2007","2007",378296,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2008","2008",391371,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2009","2009",386700,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2010","2010",400757,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2011","2011",424798,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2012","2012",442026,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2013","2013",451807,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2014","2014",441156,,
"26415","Graduates from tertiary education, female (number)","GBR","United Kingdom of Great Britain and Northern Ireland","2015","2015",423064,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2001","2001",166848,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2002","2002",148451,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2003","2003",161281,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2005","2005",193343,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2009","2009",232414,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2010","2010",186153,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2012","2012",208673,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","IDN","Indonesia","2015","2015",203273,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","1999","1999",47964,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2000","2000",59883,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2001","2001",57882,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2002","2002",62296,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2003","2003",67606,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2004","2004",68070,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2005","2005",73769,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2006","2006",72154,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2007","2007",67224,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2008","2008",63331,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2009","2009",68158,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2010","2010",70358,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2011","2011",67857,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2012","2012",69917,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2013","2013",73628,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2014","2014",72465,,
"26375","Graduates from tertiary education, both sexes (number)","HUN","Hungary","2015","2015",68485,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","PRI","Puerto Rico","2009","2009",3512,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","PRI","Puerto Rico","2011","2011",3870,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","PRI","Puerto Rico","2012","2012",4399,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","PRI","Puerto Rico","2013","2013",4964,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","PRI","Puerto Rico","2014","2014",4668,,
"26415","Graduates from tertiary education, female (number)","BTN","Bhutan","2013","2013",557,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2000","2000",22059,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2001","2001",22311,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2002","2002",23124,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2006","2006",25860,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2007","2007",26364,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2008","2008",25984,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2009","2009",26149,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2010","2010",27440,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2011","2011",28215,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2012","2012",30442,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2013","2013",2203,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","BEL","Belgium","2014","2014",2312,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","1999","1999",2033,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2001","2001",2431,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2002","2002",2133,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2003","2003",1714,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2004","2004",1780,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2005","2005",2113,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2006","2006",594,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2007","2007",429,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2008","2008",364,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2009","2009",457,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2010","2010",436,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2013","2013",639,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2014","2014",468,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","URY","Uruguay","2015","2015",452,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","LBR","Liberia","2000","2000",526,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","LBR","Liberia","2010","2010",,"a","Category not applicable"
"26375","Graduates from tertiary education, both sexes (number)","LCA","Saint Lucia","2013","2013",580,,
"26375","Graduates from tertiary education, both sexes (number)","LCA","Saint Lucia","2014","2014",814,,
"26375","Graduates from tertiary education, both sexes (number)","LCA","Saint Lucia","2015","2015",944,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2001","2001",322,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2002","2002",295,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2003","2003",354,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2004","2004",338,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2005","2005",340,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2006","2006",389,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2007","2007",439,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2008","2008",350,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2009","2009",442,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2010","2010",614,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2011","2011",453,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2012","2012",380,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2013","2013",377,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2014","2014",247,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","ARM","Armenia","2015","2015",326,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","1999","1999",8353,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2000","2000",9676,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2001","2001",11251,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2002","2002",13133,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2003","2003",14332,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2004","2004",16511,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2005","2005",18428,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2006","2006",18656,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2007","2007",19231,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2008","2008",17289,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2009","2009",18565,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2010","2010",18930,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2011","2011",17423,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2012","2012",14493,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2013","2013",14910,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2014","2014",11305,,
"26415","Graduates from tertiary education, female (number)","LVA","Latvia","2015","2015",11139,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","1999","1999",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2000","2000",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2001","2001",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2002","2002",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2003","2003",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2004","2004",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2005","2005",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2006","2006",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2007","2007",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2008","2008",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2012","2012",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","STP","Sao Tome and Principe","2015","2015",,"a","Category not applicable"
"26375","Graduates from tertiary education, both sexes (number)","CYM","Cayman Islands","2006","2006",70,,
"26375","Graduates from tertiary education, both sexes (number)","CYM","Cayman Islands","2007","2007",190,,
"26375","Graduates from tertiary education, both sexes (number)","CYM","Cayman Islands","2008","2008",224,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","1999","1999",744,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2000","2000",806,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2001","2001",797,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2002","2002",984,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2003","2003",1063,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2004","2004",1056,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2005","2005",1098,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2006","2006",1157,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2007","2007",1321,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2008","2008",1341,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2009","2009",1373,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2010","2010",1571,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2011","2011",1626,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2012","2012",1815,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2013","2013",1997,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","NLD","Netherlands","2014","2014",2142,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","1999","1999",259296,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2000","2000",273326,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2001","2001",289448,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2002","2002",299206,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2003","2003",314463,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2004","2004",299142,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2005","2005",302243,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2006","2006",298636,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2007","2007",287410,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2008","2008",207781,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2009","2009",190103,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2011","2011",196873,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2012","2012",197608,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2013","2013",188887,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","KOR","Republic of Korea","2014","2014",186930,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","VGB","British Virgin Islands","2002","2002",12,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","VGB","British Virgin Islands","2009","2009",3,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","VGB","British Virgin Islands","2015","2015",140,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","NIC","Nicaragua","2002","2002",,"a","Category not applicable"
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2003","2003",168,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2006","2006",294,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2007","2007",217,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2008","2008",307,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2009","2009",368,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2010","2010",423,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2012","2012",538,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2013","2013",593,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","CHL","Chile","2014","2014",605.83333,,
"26415","Graduates from tertiary education, female (number)","ZWE","Zimbabwe","2010","2010",13801,,
"26415","Graduates from tertiary education, female (number)","ZWE","Zimbabwe","2011","2011",6896,,
"26415","Graduates from tertiary education, female (number)","ZWE","Zimbabwe","2012","2012",7027,,
"26415","Graduates from tertiary education, female (number)","ZWE","Zimbabwe","2013","2013",6485,,
"26415","Graduates from tertiary education, female (number)","ZWE","Zimbabwe","2015","2015",13814,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","1999","1999",536,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2000","2000",615,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2001","2001",558,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2002","2002",435,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2003","2003",602,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2004","2004",481,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2005","2005",517,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2006","2006",604,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2007","2007",605,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2008","2008",101,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2009","2009",41,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2010","2010",109,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2011","2011",917,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2012","2012",270,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2013","2013",406,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2014","2014",450,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","GEO","Georgia","2015","2015",349,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2002","2002",80,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2003","2003",39,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2004","2004",55,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2005","2005",52,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2006","2006",129,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2007","2007",143,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2008","2008",126,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2009","2009",180,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2010","2010",312,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2011","2011",441,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2012","2012",240,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2013","2013",308,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2014","2014",292,,
"26295","Graduates from ISCED 8 programmes in tertiary education, both sexes (number)","SYR","Syrian Arab Republic","2015","2015",436,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2000","2000",,"n","Magnitude nil or negligible"
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2002","2002",,"n","Magnitude nil or negligible"
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2003","2003",,"n","Magnitude nil or negligible"
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2005","2005",5,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2006","2006",14,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2007","2007",10,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2008","2008",21,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2009","2009",14,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2010","2010",21,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2011","2011",27,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2012","2012",23,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2013","2013",32,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2014","2014",40,,
"26335","Graduates from ISCED 8 programmes in tertiary education, female (number)","MAC","China, Macao Special Administrative Region","2015","2015",53,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2004","2004",42486,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2005","2005",65197,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2006","2006",64098,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2007","2007",65197,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2009","2009",69272,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2011","2011",70952,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2012","2012",48006,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2013","2013",72166,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2014","2014",82999,,
"26255","Graduates from ISCED 5 programmes in tertiary education, female (number)","IRN","Iran (Islamic Republic of)","2015","2015",63289,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","1999","1999",1018,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2000","2000",1146,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2001","2001",1284,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2002","2002",1349,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2003","2003",1617,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2004","2004",1889,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2005","2005",1969,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2006","2006",2282,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2007","2007",2389,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2008","2008",2400,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2009","2009",2274,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2010","2010",2739,,
"26415","Graduates from tertiary education, female (number)","ISL","Iceland","2012","2012",2642,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","ARE","United Arab Emirates","2007","2007",2219,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","ARE","United Arab Emirates","2008","2008",2429,,
