"Country or Area","Year","Value","Value Footnotes","Value Footnotes"
"Lao People's Democratic Republic","2007","31.7","117","117"
"Lao People's Democratic Republic","2002","37.6","117","117"
"Lao People's Democratic Republic","1997","42.5","117","117"
"Lao People's Democratic Republic","1992","51.8","117","117"
"Lesotho","2010","61.2","118","118"
"Lesotho","2002","60.5","119","119"
"Lesotho","1994","68.9","120","120"
"Liberia","2007","67.7","121","121"
"Madagascar","2010","81.5","122","122"
"Madagascar","2005","80.6","123","123"
"Madagascar","2001","78.2","124","124"
"Malawi","2010","56.6","125","125"
"Malawi","2004","55.9","125","125"
"Malawi","1997","66.5","126","126"
"Malaysia","2012","3.4","127","127"
"Malaysia","2009","8.4","128","128"
"Malaysia","2007","7.1","128","128"
"Malaysia","2004","11.9","128","128"
"Malaysia","2002","13.5","128","128"
"Malaysia","1999","14.8","128","128"
"Malaysia","1997","10.9","128","128"
"Malaysia","1995","14.9","128","128"
"Malaysia","1992","21.2","128","128"
"Mali","2010","50.6","129","129"
"Mali","2006","57","129","129"
"Mali","2001","64.8","129","129"
"Mauritania","2008","59.4","130","130"
"Mauritania","2004","59","131","131"
"Mauritania","2000","66.2","132","132"
"Mexico","2012","63.6","133","133"
"Mexico","2010","60.7","134","134"
"Mexico","2008","60.3","134","134"
"Mexico","2006","54.6","134","134"
"Mexico","2005","61.8","134","134"
"Mexico","2004","57.4","134","134"
"Mexico","2002","64.3","134","134"
"Mexico","2000","69.2","134","134"
"Mexico","1998","75.9","134","134"
"Mexico","1996","80.7","134","134"
"Mexico","1994","69.3","134","134"
"Mexico","1992","66.5","134","134"
"Mongolia","2012","35.5","135","135"
"Mongolia","2011","43.4","136","136"
"Mongolia","2010","49","137","137"
"Montenegro","2012","18.1","138","138"
"Montenegro","2011","18.4","139","139"
"Montenegro","2010","11.3","140","140"
"Montenegro","2009","14.8","141","141"
"Montenegro","2008","8.9","141","141"
"Montenegro","2007","12","141","141"
"Montenegro","2006","17.6","141","141"
"Montenegro","2005","16.5","142","142"
"Morocco","2007","14.4","143","143"
"Morocco","2001","25.1","144","144"
"Morocco","1998","24.2","143","143"
"Mozambique","2009","56.9","145","145"
"Mozambique","2002","55.3","146","146"
"Mozambique","1996","71.3","147","147"
"Namibia","2009","37.4","148","148"
"Namibia","2004","48.7","148","148"
"Namibia","1994","81.6","148","148"
"Nepal","2010","27.4","149","149"
"Nicaragua","2009","63.3","150","150"
"Nicaragua","2005","70.3","150","150"
"Niger","2011","55.2","",""
"Nigeria","2010","52.8","151","151"
"Nigeria","2004","56.6","152","152"
"Pakistan","2005","27","153","153"
"Pakistan","2004","28.1","153","153"
"Pakistan","2001","39.3","153","153"
"Pakistan","1998","34.7","153","153"
"Panama","2013","49.4","154","154"
"Panama","2012","49.9","154","154"
"Panama","2011","50.4","154","154"
"Panama","2010","54.1","154","154"
"Panama","2009","59.6","154","154"
"Panama","2008","59.4","154","154"
"Panama","2007","62.3","154","154"
"Panama","2006","64.4","154","154"
"Papua New Guinea","2009","41.6","155","155"
"Papua New Guinea","1996","41.3","156","156"
"Paraguay","2013","33.8","157","157"
"Paraguay","2012","42.1","158","158"
"Paraguay","2011","44.8","157","157"
"Paraguay","2010","48.9","157","157"
"Paraguay","2009","49.8","157","157"
"Paraguay","2008","48.8","157","157"
"Paraguay","2007","51.8","157","157"
"Paraguay","2006","55.3","157","157"
"Paraguay","2005","44.2","157","157"
"Paraguay","2004","48.9","157","157"
"Paraguay","2003","52.5","157","157"
"Peru","2013","48","159","159"
"Peru","2012","53","159","159"
"Peru","2011","56.1","159","159"
"Peru","2010","61","159","159"
"Peru","2009","66.7","159","159"
"Peru","2008","68.8","159","159"
"Peru","2007","74","159","159"
"Peru","2006","79.3","159","159"
"Peru","2005","82.5","159","159"
"Peru","2004","83.4","159","159"
"Peru","2003","75.2","160","160"
"Peru","2002","77.1","161","161"
"Peru","2001","78.4","161","161"
"Republic of Moldova","2013","18.8","162","162"
"Republic of Moldova","2012","22.8","163","163"
"Republic of Moldova","2011","25","163","163"
"Republic of Moldova","2010","30.3","164","164"
"Republic of Moldova","2009","36.3","164","164"
"Republic of Moldova","2008","34.6","164","164"
"Republic of Moldova","2007","31.3","164","164"
"Republic of Moldova","2006","34.1","164","164"
"Rwanda","2011","48.7","165","165"
"Rwanda","2006","61.9","166","166"
"Sao Tome and Principe","2009","59.4","167","167"
"Senegal","2011","57.1","168","168"
"Senegal","2005","58.8","169","169"
"Senegal","2001","65.1","",""
"Seychelles","2006","37.2","170","170"
"Sierra Leone","2011","66.1","171","171"
"Sierra Leone","2003","78.7","172","172"
"South Africa","2011","77","173","173"
"South Africa","2006","87.6","174","174"
"South Sudan","2009","55.4","175","175"
"Sri Lanka","2013","7.6","176","176"
"Sri Lanka","2009","9.4","177","177"
"Sri Lanka","2006","15.7","178","178"
"Sri Lanka","2002","24.7","179","179"
"Sri Lanka","1995","30.9","180","180"
"Sri Lanka","1990","29.5","181","181"
"State of Palestine","2011","19.4","182","182"
"State of Palestine","2010","21.9","183","183"
"State of Palestine","2009","26.6","184","184"
"State of Palestine","2006","29.5","185","185"
"State of Palestine","2005","32.5","186","186"
"State of Palestine","2003","38.5","187","187"
"Sudan","2009","57.6","188","188"
"Swaziland","2009","73.1","189","189"
"Swaziland","2000","79.7","190","190"
"Syrian Arab Republic","2007","36.9","191","191"
"Syrian Arab Republic","2004","31.8","192","192"
"Tajikistan","2009","49.2","193","193"
"Tajikistan","2007","54.4","193","193"
"Tajikistan","2003","73.8","194","194"
"Thailand","2011","16.7","195","195"
"Thailand","2010","23.1","196","196"
"Thailand","2009","25.1","197","197"
"Thailand","2008","27.5","198","198"
"Thailand","2007","27.2","199","199"
"Thailand","2006","30.4","200","200"
"Thailand","2004","33.7","201","201"
"Thailand","2002","40.4","202","202"
"Thailand","2000","51.7","203","203"
"Thailand","1998","46.8","204","204"
"Thailand","1996","42.3","205","205"
"Thailand","1994","50.6","206","206"
"Thailand","1992","60","207","207"
"Thailand","1990","66.2","208","208"
"Timor-Leste","2007","51.5","209","209"
"Timor-Leste","2001","39.7","210","210"
"Togo","2011","73.4","211","211"
"Togo","2006","75.1","212","212"
"Turkey","2012","5.9","213","213"
"Turkey","2011","6.8","213","213"
"Turkey","2010","9.6","213","213"
"Turkey","2009","11.9","213","213"
"Turkey","2008","15.3","213","213"
"Turkey","2007","17.6","213","213"
"Turkey","2006","25.4","213","213"
"Turkey","2005","26.6","213","213"
"Turkey","2004","32.6","213","213"
"Turkey","2003","32.2","213","213"
"Turkey","2002","38.8","213","213"
"Uganda","2012","22.4","214","214"
"Uganda","2009","27.2","215","215"
"Uganda","2005","34.2","216","216"
"Uganda","2002","42.7","217","217"
"Uganda","2000","37.4","217","217"
"Uganda","1996","48.7","217","217"
"Uganda","1992","60.3","217","217"
"United Republic of Tanzania","2012","33.3","218","218"
"Uruguay","2013","3","219","219"
"Uruguay","2012","4.1","219","219"
"Uruguay","2011","6","219","219"
"Uruguay","2010","6.1","219","219"
"Uruguay","2009","9.1","219","219"
"Uruguay","2008","11.5","219","219"
"Uruguay","2007","16.4","219","219"
"Uruguay","2006","20.7","219","219"
"Viet Nam","2012","22.1","220","220"
"Viet Nam","2010","26.9","221","221"
"Yemen","2005","40.1","222","222"
"Yemen","1998","42.5","222","222"
"Zambia","2010","77.9","223","223"
"Zimbabwe","2011","84.3","224","224"

"footnoteSeqID","Footnote"
"1","World Bank estimates National Risk and Vulnerability Assessment 2011-12"
"2","World Bank Source; Poverty figures are not comparable with previous series due to seasonality and changes in the questionnaires used. National Risk and Vulnerability Assessment Survey 2007-2008."
"3","Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012."
"4","World Bank Source; Albania: trends in poverty 2002-2005-2008"
"5","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Inquérito Integrado sobre o Bem-Estar da População (IBEP). Not comparable with prior series."
"6","Social snapshot and poverty in Armenia, 2014"
"7","Social snapshot and poverty in Armenia, 2013.  Poverty profile and labor market developments in 2008-2012. National Statistical Service of the Republic of Armenia."
"8","Social snapshot and poverty in Armenia, 2012. Poverty profile and Labor Market developments in 2008-2011. National Statistical Service of the Republic of Armenia."
"9","Social snapshot and poverty in Armenia, 2011. Poverty profile and Labor Market developments in 2008-2010. National Statistical Service of the Republic of Armenia."
"10","Social snapshot and poverty in Armenia, 2011. Poverty profile and Labor Market developments in 2008-2010. National Statistical Service of the Republic of Armenia. Integrated Living Conditions Survey 2009."
"11","Social snapshot and poverty in Armenia, 2011. Poverty profile and Labor Market developments in 2008-2010. National Statistical Service of the Republic of Armenia. Integrated Living Conditions Survey 2008."
"12","World Bank Source; Armenia: Poverty Assessment  (In Three Volumes) Volume I: A Summary of Findings, Report No: 27192-AM, Nov 2003"
"13","World Bank Source; Azerbaijan: Living Conditions Assessment Report, Report No. 52801-AZ, March 2010"
"14","Bangladesh Bureau of Statistics Source; HIES 2010; based on the BBS method anchored to HIES (2005) upper poverty lines; inflation adjustment based on HIES data, not CPI."
"15","World Bank Source; HIES 1991/92, 1995/96, 2000, and 2005; based on the BBS method anchored to HIES (2005) upper poverty lines deflated to adjust for inflation to generate comparable poverty lines for earlier years."
"16","Social conditions and living standards of the population in the Republic of Belarus. National Statistical Committee of the Republic of Belarus."
"17","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan."
"18","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681)."
"19","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2008 - World Bank ECAPOV Standardized Datasets."
"20","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2007 - World Bank ECAPOV Standardized Datasets."
"21","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2006 - World Bank ECAPOV Standardized Datasets."
"22","National Source (http://www.belstat.gov.by); incorporated in the IBRD Program Document for the Belarus Development Policy Loan (P117681). Household Sample Survey 2005 - World Bank ECAPOV Standardized Datasets."
"23","Enquete Modulaire Integree sur les Conditions de Vie des Menages 2ème Édition (EMICov 2011). Comparable series since 2006."
"24","Enquête Modulaire Intégrée sur les Conditions de Vie des Ménages (EMICoV). Comparable series since 2006."
"25","Enquête Modulaire Intégrée sur les Conditions de Vie des Ménages (EMICoV). Not comparable with prior series."
"26","Source: National Source. Bhutan Poverty Analysis 2012. National Statistics Bureau Royal Government of Bhutan and the World Bank. Bhutan Living Standards Survey (BLSS) 2012. Comparable with the 2007 estimates."
"27","National Source; estimates for 2003 and 2007 are not comparable. Poverty Analysis Report 2007. National Statistics Bureau Royal Government of Bhutan (December 2007) and Poverty and Inequality in Bhutan (2004)."
"28","National Source (www.udape.gov.bo) Encuesta Continua de Hogares- MECOVI; Moderate Poverty Line (individuals)"
"29","National Source (www.ine.gov.bo and www.udape.gov.bo) Encuesta Continua de Hogares- MECOVI; Moderate Poverty Line (individuals)"
"30","National Source (www.udape.gov.bo) Encuesta Continua de Hogares- MECOVI; Moderate Poverty Line (individuals). This survey was carried out from 2003 to 2004. The official poverty rates are considered for both years."
"31","Botswana Core Welfare Indicators Survey 2009/10 Botswana Core Welfare Indicators Survey (BCWIS). Comparable series since 1986."
"32","Central Statistics office: Poverty Datum Line for Botswana 2003. Comparable series since 1986."
"33","Central Statistics office. Comparable series since 1985."
"34","Report No.: 69116-BF Burkina Faso Poverty Trends and Profile 2003-2009: A Policy Note 1 (June 2013). Comparable with the 2003 estimates."
"35","Report No.: 69116-BF Burkina Faso Poverty Trends and Profile 2003-2009: A Policy Note 1 (June 2013). Comparable series since 2003."
"36","Republic of Burundi: Poverty Reduction Strategy Paper: PRSP First Annual Progress Report.  IMF Country Report No. 07/46. Not comparable with prior estimates."
"37","WB estimates based on Cambodia Socio-Economic Survey 2012. The numbers are not final yet."
"38","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Socio-Economic Survey 2011."
"39","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Socio-Economic Survey 2010."
"40","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Socio-Economic Survey 2009."
"41","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Cambodia Annual Socio-Economic Survey 2008"
"42","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Socio-Economic Survey 2006-2007"
"43","WB Staff estimates. Cambodia Poverty Assessment 2013 "Where Have All The Poor Gone?",  May 2013. Socio-Economic Survey 2003-2004"
"44","Institut National de la Statistique: Tendances, profil et déterminants de la pauvreté au Cameroun entre 2001-2007. Comparable series since 1996."
"45","Instituto Nacional de Estatistica Cabo Verde: Questionário Unifacado de Indicadores Básicos de Bem-Estar QUIBB - CV,  2006. Questionário Unificado de Indicadores Básicos de Bem-Estar (QUIBB). Not comparable with prior series."
"46","CAR2008 Rapport ECASEB et Profil 2008 pagine tabulé finalysé. Not comparable with prior series."
"47","Source: Dynamics of Poverty and Inequality following the Rise of the Oil Sector (World Bank Poverty assessment). Enquête sur la Consommation et le Secteur Informel au Tchad. Comparable with the 2003 estimates."
"48","Source: Dynamics of Poverty and Inequality following the Rise of the Oil Sector (Poverty assessment). Enquête sur la Consommation et le Secteur informel au Tchad 2002 (ECOSIT II). Not comparable with prior series."
"49","National Source (www.mideplan.cl) Encuesta  de Caracterización Socioeconómica Nacional; Moderate Poverty Line (individuals)"
"50","Poverty monitoring report for rural China at 2013, forthcoming. The Chinese government only publishes the number of poor. The World Bank staff calculated the headcount ratio."
"51","Poverty monitoring report for rural China at 2013, forthcoming."
"52","National Source (www.dane.gov.co)"
"53","National Source (www.dane.gov.co) Gran Encuesta Continua de Hogares; Moderate Poverty Line (individuals)"
"54","National Source (www.dnp.gov.co) Gran Encuesta Continua de Hogares; Moderate Poverty Line (individuals)"
"55","National Source (www.dnp.gov.co) Encuesta Continua de Hogares; Moderate Poverty Line (individuals)"
"56","Pauvreté, inégalité et marché du travail dans l’Union des Comores: Eléments d’analyse fondés sur l’Enquête intégrale auprès des ménages de 2004. Not comparable with prior series."
"57","(a) DEUXIEME ENQUETE CONGOLAISE AUPRES DES MENAGES POUR SUIVI ET L&quot;EVALUATION DE LA PAUVRETE (ECON 2011): EXTRAIT DU PROFIL DE LA PAUVRETE AU CONGO EN 2011. Deuxieme Enquête Congolaise auprès des ménages pour l&quot;évaluation de la pauvreté (ECOM II)."
"58","(a) DEUXIEME ENQUETE CONGOLAISE AUPRES DES MENAGES POUR SUIVI ET L&quot;EVALUATION DE LA PAUVRETE (ECON 2011): EXTRAIT DU PROFIL DE LA PAUVRETE AU CONGO EN 2011. Enquête Congolaise auprès des ménages pour l&quot;évaluation de la pauvreté (ECOM I)."
"59","National Source (www.inec.go.cr)"
"60","National Source (www.inec.go.cr) ENAHO; Moderate Poverty Line (households)"
"61","World Bank: Poverty Assessment 2010. Comparable series since 1985."
"62","Poverty Assessment."
"63","National Source (Oficina Nacional de Estadistica) Encuesta Nacional de Fuerza de Trabajo; April and October average; Moderate Poverty Line (individuals)"
"64","INEC (http://www.ecuadorencifras.gob.ec/pobreza/)."
"65","Sistema de Indicadores sociales del Ecuador - Ministerio Coordinador de Desarrollo Social (http://www.siise.gob.ec/siiseweb/siiseweb.html?sistema=1#)"
"66","Sistema integrado de indicadores sociales de Ecuador."
"67","National Source (www.inec.gov.ec) ENEMDU, Income Poverty; Dec data; Moderate Poverty Line (individuals)"
"68","Sistema de Indicadores sociales del Ecuador - Ministerio Coordinador de Desarrollo Social"
"69","Sistema de Indicadores sociales del Ecuador - Ministerio Coordinador de Desarrollo Social (http://www.siise.gob.ec/siiseweb/siiseweb.html?sistema=1#). Encuesta Urbana de Empleo y Desempleo - INEC."
"70","Central Agency for Public Mobilization And Support (CAPMAS), Egypt"
"71","National Source (www.digestyc.gob.sv) Encuesta de Hogares de Propósitos Múltiples; Moderate Poverty Line (households)"
"72","PROFIL DE LA PAUVRETE EN GUINEE EQUATORIALE EN 2006"
"73","Ethiopia’s Progress Towards Eradicating Poverty: An Interim Report on Poverty Analysis Study (2010/11). Comparable series since 1995."
"74","Ministry of Finance and Economic Development (MoFED): Ethiopia: Building on Progress, A Plan for Accelerated and Sustained Development to End Poverty (PASDEP), Volume I: Main Text. Comparable series since 1995."
"75","WB Staff estimates. Report No. 63842-FJ, Sept 2011. "Poverty Trends,Profiles & Small Area Estimation in Fiji (2003-09)"
"76","Gabon: Diagnostique de la Pauvrete and Enquête Gabonaise sur l’évaluation et le suivi de la pauvreté from 2005"
"77","Integrated Household Survey Income and Expenditure Poverty Assessment-2010 Integrated Household Survey (HIS) II"
"78","Georgia Poverty Note. Poverty and Inequality Two Years after the crisis Georgia Household Budget Survey."
"79","Georgia Poverty Update. Recovery from the global economic crisis. 2012. Georgia Household Budget Survey."
"80","Poverty Profile in Ghana (2005-2013)."
"81","National Source (www.ine.gob.gt) Encuesta Nacional de Condiciones de Vida; Moderate Poverty Line (individuals)"
"82","PAUVRETE ET INEGALITES EN GUINEE DE1994 A 2012 ANALYSE A PARTIR D’ENQUETES AUPRES DES MENAGE"
"83","Direction Nationale de la Statistique: Enquête intégrale sur le budget et l&quot;évaluation de la pauvreté (EIBEP QUIBB 2002-2003) Rapport Final. Enquête intégrale sur le budget et l&quot;évaluation de la pauvreté (EIBEP)."
"84","Inquérito Ligeiro para Avaliação da Pobreza (ILAP2): Resultados definitivos. Comparable series since 1994."
"85","Avaliação da Pobreza na Guiné-Bissau. Comparable series since 1994."
"86","National official poverty line developed in 2012. Rates based on consumption agregate. Rates are official and have been launched on may 13 2014, but have not been uploaded in the government websites as of yet."
"87","National Source. INE. Encuesta Permanente de Hogares de Propósitos Múltiples; Moderate Poverty Line (households). These numbers were obtained from a CD shared by INE"
"88","National Source (www.ine-hn.org) Encuesta Permanente de Hogares de Propósitos Múltiples; Moderate Poverty Line (households)"
"89","Press Note on Poverty Estimates, 2011-12. Government of India, Planning Commision. July 2013. Estimates based on Tendulkar Methodology, using Mixed Reference Period. WB staff estimates of poverty gap. Large Sample Survey of Household Consumer Expenditure (68th round). Comparable series since 1994."
"90","Press Note on Poverty Estimates, 2009-10. Government of India, Planning Commision. March 2012. Estimates based on Tendulkar Methodology. WB staff estimates of poverty gap. Comparable series since 1994."
"91","Press Note on Poverty Estimates, 2011-12. Government of India, Planning Commision. July 2013. Estimates based on Tendulkar Methodology, using Mixed Reference Period. Large Sample Survey of Household Consumer Expenditure (61th round). Comparable series since 1994."
"92","Press Note on Poverty Estimates, 2011-12. Government of India, Planning Commision. July 2013. Estimates based on Tendulkar Methodology, using Mixed Reference Period. Large Sample Survey of Household Consumer Expenditure (50th round). Comparable series since 1994."
